Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Alior Bank SA,43.76,0,45.3,43.67,45.3,169406,7468758,2022-04-14
Allegro.eu SA,27.9,0,0,27.01,28.48,2039057,56890481,2022-04-14
AmRest Holdings SE,18.82,0,19.36,18.82,19.36,32687,620504,2022-04-14
Asseco Poland SA,76.65,0,77.3,76.2,78.3,77143,5922722,2022-04-14
Bank Millennium SA,6.17,0,6.2,6.17,6.28,460289,2856347,2022-04-14
Bank Pekao SA,109.5,0,112.7,109.25,112.8,424188,46816169,2022-04-14
CCC SA,53.2,0,51.66,51.02,53.74,294803,15450835,2022-04-14
CD Projekt SA,167,0,0,162.96,170.26,384369,63823441,2022-04-14
Cyfrowy Polsat SA,27.32,0,28.16,27.26,28.16,224837,6172818,2022-04-14
Dino Polska SA,337.8,0,342.4,335.4,344,144966,49166297,2022-04-14
Enea SA,9.24,0,9.2,9.14,9.25,154715,1423838,2022-04-14
Grupa Azoty SA,42.12,0,42,41.56,42.88,48176,2035208,2022-04-14
Grupa Kęty SA,627,0,636,627,641,2667,1685077,2022-04-14
Grupa Lotos SA,72.92,0,0,72.5,76.12,474064,34812282,2022-04-14
Jastrzębska Spółka Węglowa SA,74.5,0,0,71.44,74.92,974958,72075957,2022-04-14
KGHM Polska Miedź SA,170.9,0,171.5,168.7,172.7,192165,32809197,2022-04-14
Kruk SA,291,0,289,280.2,292,21826,6216466,2022-04-14
LPP SA,11090,0,11110,11000,11200,1339,14873300,2022-04-14
mBank SA,345.2,0,345,340.6,347.8,22118,7612153,2022-04-14
Mercator Medical SA,66.78,0,66.28,65.74,66.98,11535,764271,2022-04-14
Orange Polska SA,7.74,0,7.86,7.68,7.87,917068,7105095,2022-04-14
Pepco Group NV,45,0,44.84,44.68,45.62,93864,4221193,2022-04-14
PGE SA,9.32,0,9.33,9.28,9.43,831156,7760656,2022-04-14
PGNiG SA,6.68,0,6.77,6.63,6.77,1883818,12617644,2022-04-14
PKN Orlen SA,81.08,0,81.7,80.22,82.1,593236,48043952,2022-04-14
PKO BP SA,38.02,0,38.7,37.87,38.92,1281163,48922233,2022-04-14
PZU SA,33.39,0,33.58,33.2,33.63,1062491,35428165,2022-04-14
Santander Bank Polska SA,287.4,0,300,286.4,300,23799,6882768,2022-04-14
Tauron PE SA,3.06,0,3.02,2.99,3.08,2869563,8695050,2022-04-14
Ten Square Games SA,174.6,0,165,160.1,176.5,57096,9606581,2022-04-14
