Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,77.3,76.65,78.3,76.2,5.92,0
2022-04-15,76.65,76.65,76.65,76.65,0,0
2022-04-14,77.3,76.65,78.3,76.2,5.92,-0.52
2022-04-13,81.05,77.05,81.1,76.7,12.46,-4.88
2022-04-12,82,81,82,80.6,4.16,-1.22
2022-04-11,81.9,82,82.35,80.45,4.15,-0.06
2022-04-08,81,82.05,82.3,80.4,7.48,1.67
2022-04-07,80.6,80.7,81.1,79.3,4.76,1.45
2022-04-06,83,79.55,83.1,79.1,8.88,-3.63
2022-04-05,82.45,82.55,83.35,81.95,8.03,0.67
2022-04-04,80.75,82,82.5,79.75,6.86,3.02
2022-04-01,81.45,79.6,81.45,79.5,4.77,-1.3
2022-03-31,80,80.65,81.45,79.45,9.38,-0.25
2022-03-30,80.1,80.85,81.2,79.3,4.49,0.87
2022-03-29,81.15,80.15,81.35,78.75,8.5,-0.06
2022-03-28,80.65,80.2,81.9,80.1,3.64,-0.5
2022-03-25,82.85,80.6,83.2,79.55,7.22,-2.13
2022-03-24,79.1,82.35,83.7,79.1,13.65,7.09
2022-03-23,79.2,76.9,79.85,76.4,3.88,-2.29
2022-03-22,78.7,78.7,79.95,78.65,5.15,0.06
2022-03-21,77.5,78.65,80.6,77.5,9.04,1.35
2022-03-18,78.5,77.6,79.85,76.9,14.79,-0.96
2022-03-17,75.5,78.35,78.75,74.25,8.7,4.19
2022-03-16,77.15,75.2,77.3,74.3,5.37,0.07
2022-03-15,73.8,75.15,76.45,73.15,3.86,1.83
2022-03-14,77.55,73.8,77.55,73.6,4.25,-3.59
2022-03-11,73.6,76.55,77.35,73.6,6.02,4.22
2022-03-10,75.95,73.45,75.95,72.6,3.7,-3.29
2022-03-09,72,75.95,76.25,71.25,6.78,7.65
2022-03-08,71.5,70.55,73.15,70.35,3.46,-1.4
2022-03-07,72,71.55,73.5,70.65,8.87,-0.69
2022-03-04,74.45,72.05,75,71,6.41,-1.97
2022-03-03,73.15,73.5,74.8,71.25,8.06,0
2022-03-02,72.4,73.5,73.5,71.35,5.14,0.48
2022-03-01,74.9,73.15,74.95,72.5,7.39,-1.15
2022-02-28,73.5,74,74.9,72.55,10.8,-1.07
2022-02-25,73,74.8,75.5,70,10.74,4.76
2022-02-24,74.8,71.4,75,70.15,20.76,-7.27
2022-02-23,78.5,77,78.55,76.55,7.52,-1.28
2022-02-22,77.95,78,78.6,76,4.24,-0.51
2022-02-21,81,78.4,81,78.4,4.54,-1.88
2022-02-18,79.5,79.9,81.7,79.25,10.36,0.25
2022-02-17,79.45,79.7,79.85,79,6.17,0.76
2022-02-16,79.95,79.1,79.95,78.5,6.08,-0.5
2022-02-15,80.5,79.5,80.5,79,7.41,-0.63
2022-02-14,78.8,80,80.2,78.4,10.25,0.63
2022-02-11,79.5,79.5,80.2,78.2,3.3,0
2022-02-10,80.8,79.5,81.35,79.2,6.02,-1.61
2022-02-09,79.9,80.8,81.35,79.7,13.83,2.15
2022-02-08,80.6,79.1,80.7,78.85,9.58,-2.04
2022-02-07,79.7,80.75,80.8,79.15,5.85,2.47
2022-02-04,80.65,78.8,81,78.8,8.2,-1.99
2022-02-03,81.4,80.4,81.8,80.25,4.86,-1.23
2022-02-02,81.1,81.4,81.5,80.2,6.06,0.06
2022-02-01,82.3,81.35,82.5,81,3.79,-0.85
2022-01-31,82.6,82.05,83.2,81.2,7.96,0.61
2022-01-28,81.5,81.55,82.95,80.8,9.05,0.68
2022-01-27,81,81,82,79.15,5.56,0.37
2022-01-26,79.35,80.7,82.05,79.35,4.79,1
2022-01-25,79.5,79.9,80.45,79,8.36,0.5
2022-01-24,82.95,79.5,82.95,77.75,15.35,-4.16
2022-01-21,85.95,82.95,85.95,82.8,7.92,-3.1
2022-01-20,84.95,85.6,86.5,83.6,10.3,1.36
2022-01-19,80.5,84.45,85,80.5,8.98,4.19
2022-01-18,82.7,81.05,82.7,80.55,4.25,-1.7
2022-01-17,81.45,82.45,82.75,81.45,3.09,1.23
2022-01-14,82.45,81.45,82.5,80.65,8.47,0
2022-01-13,82,81.45,82.65,81.15,10.07,-0.31
2022-01-12,80.55,81.7,82.05,79.75,11.71,1.49
2022-01-11,81,80.5,82.2,80.1,13.63,-0.06
2022-01-10,83.05,80.55,84,80.55,6,-2.72
2022-01-07,85.5,82.8,85.55,81.3,12.14,-3.16
2022-01-05,85.3,85.5,85.95,85,3.37,0.59
2022-01-04,86.25,85,86.6,84.7,6.75,-0.47
2022-01-03,87.35,85.4,87.35,85.4,3.42,-1.21
2021-12-31,86.45,86.45,86.45,86.45,0,0
2021-12-30,85.4,86.45,87.5,85.05,4.97,0.76
2021-12-29,86.5,85.8,86.5,84.4,5.48,-1.38
2021-12-28,87.25,87,87.8,87,3.96,-0.91
2021-12-27,87.15,87.8,87.8,86.55,1.41,0.69
2021-12-24,87.2,87.2,87.2,87.2,0,0
2021-12-23,86.15,87.2,87.3,85.45,3.19,0.75
2021-12-22,87.05,86.55,87.05,85.8,7.47,-0.57
2021-12-21,87.9,87.05,88.35,86.1,6.63,-0.91
2021-12-20,85,87.85,87.9,85,6.21,3.23
2021-12-17,89.6,85.1,89.6,85.1,19.95,-4.97
2021-12-16,87,89.55,89.55,85.65,7.65,3.65
2021-12-15,86.15,86.4,87.05,83.95,16.69,0.29
2021-12-14,87.35,86.15,88.3,86.15,11.51,-0.35
2021-12-13,86,86.45,88,86,6.63,0.52
2021-12-10,87.1,86,87.7,86,6.56,-0.81
2021-12-09,85.5,86.7,87.35,85.5,7.69,0.76
2021-12-08,86.7,86.05,88.5,86,17.82,-0.64
2021-12-07,88.9,86.6,89.1,86.1,18.35,-1.59
2021-12-06,86.4,88,88.15,85.4,3.29,1.79
2021-12-03,86.7,86.45,88.25,86.25,3.93,-0.4
2021-12-02,88,86.8,88.05,86.15,5.15,-1.36
2021-12-01,87.85,88,89.65,87,7.18,-2.11
2021-11-30,89.9,89.9,89.9,89.9,0,0
2021-11-29,89.55,89.9,90.7,88.5,4.09,-0.99
2021-11-26,89,90.8,91,87.6,7.07,2.08
2021-11-25,87.2,88.95,89.95,87.2,3.28,2.01
2021-11-24,91.8,87.2,91.8,87.05,5.13,-5.22
2021-11-23,93.4,92,93.4,92,2.8,-1.76
2021-11-22,92.5,93.65,94,92.35,2.76,1.24
2021-11-19,93.95,92.5,94,91,8.77,-1.02
2021-11-18,94.35,93.45,94.35,92.1,3.35,-0.16
2021-11-17,94.25,93.6,94.6,93.05,2.55,0.43
2021-11-16,95.95,93.2,95.95,93.1,4.64,-1.79
2021-11-15,93.45,94.9,96.45,92.3,4.95,2.32
2021-11-12,91.25,92.75,93.25,90.6,7.71,1.92
2021-11-10,93.35,91,93.65,86.8,13.03,-4.11
2021-11-09,91.8,94.9,94.9,91.3,4.35,2.82
2021-11-08,92.25,92.3,93.55,91.65,9.62,0.54
2021-11-05,92.6,91.8,94.95,91.8,4.82,-1.29
2021-11-04,94.2,93,95.05,93,5.46,-2.16
2021-11-03,92.7,95.05,95.1,92.4,8.47,2.87
2021-11-02,99.4,92.4,99.4,91.1,14.77,-5.95
2021-10-29,99,98.25,99.4,97,12.17,-0.66
2021-10-28,96.6,98.9,99.45,96.6,4.6,2.33
2021-10-27,98.8,96.65,98.8,96.1,3.6,-1.68
2021-10-26,96.25,98.3,98.45,95,7.34,1.71
2021-10-25,99,96.65,99.5,96.55,3.83,-1.88
2021-10-22,99.4,98.5,99.75,97.6,3.43,-0.71
2021-10-21,98,99.2,99.45,97.45,19.18,1.69
2021-10-20,98.95,97.55,99.35,97,9.8,-1.27
2021-10-19,96.45,98.8,99.7,96.3,15.93,2.38
2021-10-18,97,96.5,97.65,95.8,12.16,-0.26
2021-10-15,97.35,96.75,97.95,95.85,14.64,-0.62
2021-10-14,98,97.35,98.25,94.95,15.98,-0.05
2021-10-13,93,97.4,97.4,92.1,15.87,4.73
2021-10-12,91.5,93,93.8,90.55,9.8,0.87
2021-10-11,92.95,92.2,92.95,91,6.72,-0.43
2021-10-08,91.3,92.6,93.5,91.2,6.94,1.54
2021-10-07,90.45,91.2,91.5,89,9.84,1.05
2021-10-06,89.6,90.25,90.5,89,6.88,0.73
2021-10-05,89.9,89.6,90.65,89,7.85,0
2021-10-04,87.5,89.6,89.6,87,5.28,1.93
2021-10-01,86.75,87.9,88.4,86,26.55,0.34
2021-09-30,89.4,87.6,91,86.3,10.77,-1.57
2021-09-29,85.7,89,89.3,84.75,5.47,3.79
2021-09-28,85,85.75,85.8,84,2.61,0.29
2021-09-27,86.75,85.5,86.75,84.4,3.47,-1.5
2021-09-24,84.55,86.8,86.8,84.4,3.79,2.97
2021-09-23,85.5,84.3,86,83.45,3.3,-0.65
2021-09-22,84.2,84.85,86.4,83.65,2.6,-0.18
2021-09-21,85.4,85,86.45,84.1,1.42,-1.73
2021-09-20,87.3,86.5,87.5,84.1,3.14,-1.65
2021-09-17,86.95,87.95,87.95,85.5,11.44,1.15
2021-09-16,85.3,86.95,87.4,84.65,4.09,1.7
2021-09-15,84,85.5,85.95,83.8,2.68,1.24
2021-09-14,86.25,84.45,86.25,83.9,2.06,-1.69
2021-09-13,84.95,85.9,86.15,84.55,2.71,1.6
2021-09-10,84.55,84.55,84.9,84.2,2.41,-0.41
2021-09-09,83.65,84.9,84.9,83.4,4.29,1.86
2021-09-08,84.6,83.35,84.65,83.1,3.95,-1.94
2021-09-07,85.3,85,85.5,84.5,1.94,-0.76
2021-09-06,85.45,85.65,86.2,85.3,2.03,0.06
2021-09-03,85.9,85.6,85.9,85.15,2.23,-0.35
2021-09-02,89.8,85.9,89.85,85.5,8.34,-3.48
2021-09-01,84.5,89,89.4,84.5,10.36,6.08
2021-08-31,81.1,83.9,84.25,81,7.07,2.88
2021-08-30,80.05,81.55,82.5,80.05,2.11,0.87
2021-08-27,80.3,80.85,81.25,79.85,2.83,0.31
2021-08-26,81.2,80.6,81.2,80.25,1.15,-0.43
2021-08-25,80.95,80.95,81.3,80.3,1.95,0.94
2021-08-24,80.95,80.2,80.95,80.2,1.19,-0.62
2021-08-23,81,80.7,81.4,80.3,1.07,0.19
2021-08-20,81.2,80.55,81.65,80.4,1.1,-0.25
2021-08-19,81.2,80.75,81.2,79.3,1.62,-0.31
2021-08-18,80.8,81,81.45,80.5,1.1,0.25
2021-08-17,81,80.8,81.8,80.1,2.52,0.31
2021-08-16,81.55,80.55,81.65,80.2,1.98,-1.23
2021-08-13,82.5,81.55,82.5,81.45,1.48,-0.97
2021-08-12,81.7,82.35,82.5,81.05,1.15,0.8
2021-08-11,82.4,81.7,82.5,81,3.03,-0.43
2021-08-10,82,82.05,83,81.2,2.9,-0.79
2021-08-09,82.3,82.7,83.05,82.1,4.41,0.49
2021-08-06,80,82.3,82.9,79.7,9.47,4.31
2021-08-05,79.4,78.9,79.65,78.8,2.08,-0.75
2021-08-04,79,79.5,80.05,78.95,3.73,0.63
2021-08-03,80,79,80,78.8,4.78,-1.25
2021-08-02,80.3,80,80.5,79.55,3.11,-0.25
2021-07-30,80.25,80.2,80.9,79.8,4.26,-0.19
2021-07-29,80.3,80.35,80.75,79.7,3.15,0.88
2021-07-28,79.5,79.65,80.1,79.4,1.7,-0.38
2021-07-27,79.85,79.95,80.7,79.4,2.58,0.44
2021-07-26,80.4,79.6,80.4,79.3,2.87,-0.93
2021-07-23,80.7,80.35,80.75,80.25,1.97,-0.5
2021-07-22,78.65,80.75,80.8,78.65,3.24,1.89
2021-07-21,78.6,79.25,80.4,78.35,4.33,0.83
2021-07-20,79,78.6,79.1,78.35,5.81,-0.76
2021-07-19,79.3,79.2,79.7,78.2,4.35,-0.13
2021-07-16,80.05,79.3,80.55,78.85,3.76,-0.69
2021-07-15,79.5,79.85,81,79.5,7.02,0.57
2021-07-14,79.25,79.4,80.25,78.65,6.04,0.44
2021-07-13,77.55,79.05,79.35,77.55,4.63,2.66
2021-07-12,79.1,77,79.1,77,5.41,-2.96
2021-07-09,79.05,79.35,79.6,78.7,8.85,0.06
2021-07-08,79.4,79.3,79.5,78.9,7.03,-0.25
2021-07-07,77.35,79.5,79.55,77.35,9.35,2.78
2021-07-06,77.3,77.35,77.7,76.85,2.52,0.59
2021-07-05,77.6,76.9,77.6,76.55,3.2,-0.77
2021-07-02,76.45,77.5,77.9,76,5.86,2.04
2021-07-01,77,75.95,77.15,75.2,10.26,-1.56
2021-06-30,76.25,77.15,78.3,76,11.82,0.98
2021-06-29,76.7,76.4,76.7,76.15,8.57,-0.33
2021-06-28,75,76.65,76.65,74.1,5.39,2.13
2021-06-25,73.65,75.05,75.1,73.65,8.97,1.97
2021-06-24,72.2,73.6,73.95,72.1,10.71,2.15
2021-06-23,72.2,72.05,72.6,71.7,4.05,-0.14
2021-06-22,71.9,72.15,72.4,71.25,5.96,0.42
2021-06-21,72.8,71.85,72.8,71.4,3.07,-1.58
2021-06-18,70.5,73,73.7,70.4,14.28,3.55
2021-06-17,70.2,70.5,70.85,70.2,4.32,-0.28
2021-06-16,70.2,70.7,71.2,70.2,5.3,-0.21
2021-06-15,70.8,70.85,71.3,70.5,5.65,0.57
2021-06-14,70.55,70.45,70.55,70,4.52,0.71
2021-06-11,70.7,69.95,70.7,69.95,2.36,-1.41
2021-06-10,69.65,70.95,71,69.65,4.22,1.94
2021-06-09,71,69.6,71,69.6,6.08,-1.83
2021-06-08,70.1,70.9,71.3,69.8,5.97,1.07
2021-06-07,70.05,70.15,71.1,69.9,15.53,0.14
2021-06-04,71.2,70.05,71.3,69.45,10.38,-4.3
2021-06-03,73.2,73.2,73.2,73.2,0,0
2021-06-01,73.7,73.2,74,73.2,8.02,-0.14
2021-05-31,73.15,73.3,74,73.15,7.64,0.27
2021-05-28,73.9,73.1,73.9,72.95,10.65,-1.08
2021-05-27,74,73.9,74.5,73.05,18.82,-0.14
2021-05-26,73.8,74,74.1,73,4.7,0.27
2021-05-25,73.1,73.8,73.9,72.6,12.21,1.17
2021-05-24,71.7,72.95,72.95,71.05,6.9,2.75
2021-05-21,71.4,71,71.85,71,4.1,-0.56
2021-05-20,70.85,71.4,71.4,70.5,6.74,1.06
2021-05-19,70.7,70.65,70.8,70,3.14,0.28
2021-05-18,70.75,70.45,70.85,70.35,4.87,-0.21
2021-05-17,70,70.6,70.75,69.85,3.86,0.07
2021-05-14,69.8,70.55,70.55,69.05,6.53,1.44
2021-05-13,70.1,69.55,70.1,69.05,10.14,-0.86
2021-05-12,70.5,70.15,70.95,70.1,6.17,-0.5
2021-05-11,70.85,70.5,70.95,70.3,10.08,-0.49
2021-05-10,71,70.85,71.4,70.1,9.95,0.21
2021-05-07,70.3,70.7,70.8,69.8,7.09,1.29
2021-05-06,69.6,69.8,70.3,69.6,10.4,0.29
2021-05-05,70,69.6,70.8,69.3,9.14,0.43
2021-05-04,70.45,69.3,70.5,69,10.2,-1.63
2021-04-30,70.6,70.45,71.2,70.3,8.1,0.5
2021-04-29,71,70.1,71.5,70.1,9.18,-0.92
2021-04-28,70.35,70.75,71.1,69.7,6.57,1.14
2021-04-27,69.8,69.95,70.8,69.45,5.87,0.79
2021-04-26,70.65,69.4,70.8,69.1,7.01,-1
2021-04-23,69.5,70.1,70.1,69.3,7.72,0.29
2021-04-22,69.1,69.9,70.9,69.1,5.78,1.16
2021-04-21,69.15,69.1,69.45,68.9,7.44,0
2021-04-20,69.5,69.1,69.85,69.05,9.26,-0.65
2021-04-19,69.5,69.55,70.2,69.25,9.69,0.58
2021-04-16,69.45,69.15,69.85,68.8,8.72,-0.22
2021-04-15,70.35,69.3,71.1,69.2,10.81,-1.42
2021-04-14,71.8,70.3,72.2,70.25,7.8,-1.4
2021-04-13,70.9,71.3,71.95,70.2,6.3,0.85
2021-04-12,71.8,70.7,71.85,70.05,6.5,-1.46
2021-04-09,70.75,71.75,71.9,70.55,5.86,1.49
2021-04-08,71.9,70.7,71.9,70.55,7.1,-1.19
2021-04-07,70,71.55,71.95,69.45,10.35,2.36
2021-04-06,68.05,69.9,70.3,68,12.5,3.4
2021-04-05,67.6,67.6,67.6,67.6,0,0
2021-04-02,67.6,67.6,67.6,67.6,0,0
2021-04-01,67.9,67.6,67.9,67.35,6.87,0
2021-03-31,67.3,67.6,68.3,67,7.18,0.9
2021-03-30,67.1,67,67.3,66.6,10.11,0
2021-03-29,67.8,67,67.8,67,7.71,-0.89
2021-03-26,68,67.6,68,66.9,9.53,-0.29
2021-03-25,68.4,67.8,68.4,67.2,8.45,0
2021-03-24,68.9,67.8,69.2,67.8,5.75,-1.45
2021-03-23,68.5,68.8,69.4,67.9,3.81,1.47
2021-03-22,68,67.8,68.5,67.8,12.14,-0.44
2021-03-19,68.5,68.1,68.7,68,12.57,-0.15
2021-03-18,68.7,68.2,68.9,68,3.86,-0.73
2021-03-17,69.1,68.7,69.4,68.1,9.36,-0.15
2021-03-16,68.1,68.8,69.2,68,5.04,1.18
