Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,27.01,27.9,28.48,27.01,56.89,0
2022-04-15,27.9,27.9,27.9,27.9,0,0
2022-04-14,27,27.9,28.48,27,65.51,4.12
2022-04-13,28,26.8,28.18,26.72,119.89,-3.62
2022-04-12,28.3,27.8,28.36,27.52,80.33,-1.97
2022-04-11,28.79,28.36,29.45,27.82,84.87,-1.22
2022-04-08,29.45,28.71,29.5,28.64,79.58,-1.12
2022-04-07,30.48,29.04,30.54,29.04,83.54,-3.73
2022-04-06,32.7,30.16,32.77,29.92,144.36,-8.05
2022-04-05,32.8,32.8,33.33,32.32,82.93,0.31
2022-04-04,35.6,32.7,35.68,31.73,214.31,-6.84
2022-04-01,35.56,35.1,35.98,34.84,84.28,-1.32
2022-03-31,36.6,35.57,36.65,35.57,111.75,-2.55
2022-03-30,36.2,36.5,36.66,35.65,101.49,0.83
2022-03-29,34.8,36.2,36.2,34.14,165.09,4.93
2022-03-28,33.5,34.5,34.79,33.05,132.05,4.55
2022-03-25,33.5,33,34.18,32.66,80.01,-1.21
2022-03-24,32.53,33.41,33.7,31.84,74.09,3.33
2022-03-23,33.1,32.33,33.72,32.01,59.75,-1.7
2022-03-22,31.72,32.89,33.18,31.23,139.59,3.3
2022-03-21,32.3,31.84,32.88,31.21,86.65,-1.82
2022-03-18,32.94,32.43,33.15,31.95,160.85,-0.83
2022-03-17,31.85,32.7,32.7,31.2,188.07,5.84
2022-03-16,30.97,30.89,32.2,30.12,143.42,4.98
2022-03-15,29.8,29.43,29.96,28.41,73.39,0.65
2022-03-14,29.25,29.24,29.68,28.36,69.25,-0.44
2022-03-11,29.41,29.37,30.58,28.76,96.19,0.48
2022-03-10,29.95,29.23,30.3,28.51,99.71,0.33
2022-03-09,27.25,29.14,29.2,26.7,112.22,11.22
2022-03-08,26,26.2,27.48,25.32,93.36,-0.78
2022-03-07,26,26.4,26.74,23.12,245.34,0.36
2022-03-04,27.6,26.3,27.7,26.11,100.86,-5.19
2022-03-03,29.25,27.75,29.61,27.75,78.26,-5.16
2022-03-02,29.6,29.25,31,29.11,109.78,-3.13
2022-03-01,31.62,30.2,31.89,29.82,117.1,-3.71
2022-02-28,26.5,31.36,31.48,26.12,173.61,14.01
2022-02-25,27.59,27.51,28.6,26.03,174.47,4.2
2022-02-24,27,26.4,28.23,24.43,365.47,-13.77
2022-02-23,33.2,30.61,33.21,30.57,149.38,-6.52
2022-02-22,30.2,32.75,32.89,29.68,101.11,4.97
2022-02-21,33,31.2,33.27,31.01,76.53,-4.44
2022-02-18,33.7,32.65,34.07,32.65,85.09,-3.49
2022-02-17,34.49,33.83,34.7,33.7,51.59,-1.44
2022-02-16,36,34.33,36.2,34.06,113.91,-3.82
2022-02-15,35.07,35.69,36.08,35.01,59.18,2.13
2022-02-14,34.11,34.95,35.09,33.1,108.4,-0.68
2022-02-11,34.3,35.19,35.45,34,75.98,1.11
2022-02-10,36,34.8,36,33.91,70.11,-1.02
2022-02-09,34.06,35.16,35.32,33.4,139.92,4.46
2022-02-08,35.1,33.66,35.2,32.93,157.79,-3.94
2022-02-07,35.48,35.04,35.79,34.54,142.39,-0.38
2022-02-04,36.78,35.17,37.73,35.17,138.73,-3.3
2022-02-03,38.04,36.38,38.08,36.38,124.19,-5.57
2022-02-02,39.2,38.52,39.2,38.32,65.12,-0.81
2022-02-01,37.6,38.84,38.84,36.84,122.86,3.28
2022-01-31,36.3,37.6,37.71,35.9,175.64,6.29
2022-01-28,36.5,35.38,36.64,34.8,165.67,-2.82
2022-01-27,36.9,36.4,37.5,36.11,128.41,-3.14
2022-01-26,38.12,37.58,38.2,36.87,143.64,-0.73
2022-01-25,37.35,37.85,38.36,37.01,102.95,3.15
2022-01-24,38.6,36.7,39.26,36,146.35,-5.9
2022-01-21,39.45,39,39.96,38.42,130.06,-3.08
2022-01-20,40.24,40.24,41.18,40.12,180.87,0.1
2022-01-19,39.25,40.2,40.64,38.85,140.8,0.85
2022-01-18,42.05,39.86,42.2,39.8,190.63,-5.77
2022-01-17,43.38,42.3,43.45,42.1,135.03,-2.16
2022-01-14,43.8,43.23,43.88,42.82,166.8,-1.74
2022-01-13,42.9,44,44.4,42.12,309.9,2.64
2022-01-12,41.2,42.87,43.36,41.16,383.66,5
2022-01-11,39.44,40.83,40.98,39.05,214.76,5.7
2022-01-10,39.62,38.63,40.75,38.56,195.33,-1.87
2022-01-07,37,39.37,40.25,36.5,262.11,4.18
2022-01-05,38.73,37.78,38.73,37.6,123.1,-2.57
2022-01-04,39.8,38.78,40,38.41,68.89,-1.57
2022-01-03,39.49,39.4,41.19,39.16,102.36,1.39
2021-12-31,38.86,38.86,38.86,38.86,0,0
2021-12-30,39.56,38.86,39.95,38.54,75.11,-2.36
2021-12-29,39.77,39.8,40.33,39.21,32.55,0.08
2021-12-28,40.18,39.77,40.66,39.01,61.86,-1.56
2021-12-27,38.78,40.4,41,38.3,67.34,4.18
2021-12-24,38.78,38.78,38.78,38.78,0,0
2021-12-23,41.61,38.78,41.96,38.71,121.5,-6.22
2021-12-22,39.5,41.35,41.36,39.04,82.73,5.02
2021-12-21,39.5,39.38,40.3,38.77,73.2,0.38
2021-12-20,37.5,39.23,39.45,36.98,82.57,3.46
2021-12-17,36.79,37.91,37.91,36.23,186.03,1.79
2021-12-16,35.3,37.25,38.12,35.3,113.47,7.13
2021-12-15,36.5,34.77,36.74,34.65,97.66,-4.7
2021-12-14,38.44,36.48,38.46,36.48,89.92,-3.99
2021-12-13,38.1,38,38.56,37.62,75.46,0
