Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,42,42.12,42.88,41.56,2.04,0
2022-04-15,42.12,42.12,42.12,42.12,0,0
2022-04-14,42,42.12,42.88,41.56,2.04,0.29
2022-04-13,41.5,42,42.62,41.5,2.75,-1.18
2022-04-12,41.54,42.5,42.74,41.08,1.8,1.63
2022-04-11,42.2,41.82,42.76,41.5,2.03,-0.9
2022-04-08,43.04,42.2,43.5,41.74,5.67,-1.26
2022-04-07,43,42.74,45.6,42.32,18.37,5.01
2022-04-06,41.86,40.7,42.36,39.98,4.58,-1.93
2022-04-05,43.9,41.5,43.9,41.24,4.23,-5.47
2022-04-04,40.66,43.9,44.2,39.6,6.89,4.18
2022-04-01,43.2,42.14,43.2,41.82,2.91,-1.5
2022-03-31,42.44,42.78,43.4,42.14,2.49,1.09
2022-03-30,42.26,42.32,42.82,41.82,5.97,0.05
2022-03-29,43.04,42.3,43.64,42.22,3.39,-0.75
2022-03-28,42.98,42.62,43.9,41.3,7.89,-2.61
2022-03-25,45,43.76,45.5,43.5,7.28,-2.1
2022-03-24,41.46,44.7,44.7,41.4,10.36,6.43
2022-03-23,42.1,42,43.26,41.5,4.57,-0.24
2022-03-22,44,42.1,45.5,41.88,11.22,-4.06
2022-03-21,42,43.88,44.98,41.58,20.72,6.3
2022-03-18,37.2,41.28,41.28,36.7,20.23,11.21
2022-03-17,36.96,37.12,37.4,36.36,6.02,0.87
2022-03-16,37.02,36.8,37.28,36.14,3.89,-0.54
2022-03-15,35.68,37,37,34.52,6.25,3.99
2022-03-14,34.2,35.58,35.8,34,3.04,4.22
2022-03-11,34.78,34.14,35.34,34.1,2.49,-0.7
2022-03-10,33.98,34.38,34.48,33.52,3.33,-0.52
2022-03-09,35,34.56,35.36,33.8,2.3,0.93
2022-03-08,34.78,34.24,35.1,33.52,2.1,1.24
2022-03-07,33.8,33.82,35.5,32.54,4.42,-0.65
2022-03-04,35.24,34.04,35.82,33.44,4.28,-4.86
2022-03-03,33.7,35.78,36.42,33.62,8.54,6.87
2022-03-02,31.96,33.48,33.48,31.1,3.48,5.95
2022-03-01,32.62,31.6,33.5,31.6,2.34,-3.13
2022-02-28,31.1,32.62,32.62,30.92,5.1,2.58
2022-02-25,30.1,31.8,31.92,29.62,4.22,8.16
2022-02-24,30,29.4,31.92,28.26,12.13,-10.96
2022-02-23,33,33.02,33.9,33,2.57,0.06
2022-02-22,31.84,33,33.16,30.6,2.3,1.85
2022-02-21,33.44,32.4,33.98,32.14,3.2,-4.14
2022-02-18,33.48,33.8,34.42,33.48,1.41,0.84
2022-02-17,34.4,33.52,34.9,33.52,1.64,-3.95
2022-02-16,34.54,34.9,35.1,34.18,2.01,2.65
2022-02-15,34,34,35.26,33.66,2.54,0.24
2022-02-14,34.54,33.92,34.86,33.22,2.89,-4.72
2022-02-11,35.2,35.6,35.6,34.7,0.72,-0.28
2022-02-10,36.2,35.7,36.2,35.2,0.85,-0.67
2022-02-09,36.12,35.94,36.12,35.42,0.56,0.22
2022-02-08,35.4,35.86,36.16,35.02,1.32,2.46
2022-02-07,35.96,35,36.3,35,1.47,-2.29
2022-02-04,37.4,35.82,37.5,35.6,1.93,-3.97
2022-02-03,36.9,37.3,37.58,36.76,2.73,0.76
2022-02-02,36.38,37.02,37.32,36.04,2.93,1.54
2022-02-01,35.1,36.46,36.48,35.1,2.14,2.99
2022-01-31,35.46,35.4,35.76,35.12,1.75,0
2022-01-28,35.48,35.4,35.5,34.48,5.36,0.28
2022-01-27,33.92,35.3,35.3,33.64,2.41,2.92
2022-01-26,34.82,34.3,35.12,34.22,0.96,-1.72
2022-01-25,32.62,34.9,34.98,32.6,7.43,5.57
2022-01-24,34.9,33.06,35.36,32.64,11.34,-5.33
2022-01-21,34.42,34.92,35.08,32.9,11.13,0.06
2022-01-20,34.78,34.9,34.92,34,3.37,0.35
2022-01-19,34.4,34.78,35.1,33.84,2.96,-0.06
2022-01-18,35.82,34.8,35.82,34.8,2.28,-2.9
2022-01-17,35.2,35.84,36.28,35.1,3.19,-0.99
2022-01-14,35.86,36.2,36.5,35.42,3.14,0.89
2022-01-13,35.28,35.88,36.66,35.02,4.4,1.93
2022-01-12,34.52,35.2,35.28,34.5,4.92,2.92
2022-01-11,34,34.2,35.28,33.8,4.86,0.88
2022-01-10,34.24,33.9,34.36,33.74,1.78,-0.29
2022-01-07,33.94,34,34.16,33.8,2.38,-1.45
2022-01-05,34.4,34.5,34.96,34.08,2.27,0.41
2022-01-04,34,34.36,34.38,33.54,5.94,1.06
2022-01-03,33.78,34,34.16,33.54,5.46,0.59
2021-12-31,33.8,33.8,33.8,33.8,0,0
2021-12-30,32.8,33.8,34.2,32.7,4.7,1.2
2021-12-29,33.52,33.4,34.94,33.4,4.26,-0.83
2021-12-28,34.08,33.68,34.36,33.34,1.34,-1.12
2021-12-27,33.6,34.06,34.72,33.6,1.43,1.37
2021-12-24,33.6,33.6,33.6,33.6,0,0
2021-12-23,33.74,33.6,33.8,33.34,0.65,-1.06
2021-12-22,32.98,33.96,33.96,32.46,2.05,2.91
2021-12-21,34.42,33,34.68,32.52,3.8,-3.51
2021-12-20,34.8,34.2,34.8,33.36,5.03,-3.61
2021-12-17,35.12,35.48,35.8,35.1,7.1,-0.39
2021-12-16,35,35.62,35.96,35,2.09,2.59
2021-12-15,35.2,34.72,35.3,34.52,3.13,-1.92
2021-12-14,34.2,35.4,35.6,33.52,4.64,1.96
2021-12-13,37.7,34.72,37.7,34.72,5.08,-8.15
2021-12-10,36.9,37.8,37.92,36.76,2.05,2.27
2021-12-09,36.8,36.96,37.42,36.2,3.65,0.43
2021-12-08,38,36.8,38.5,36.8,4.3,-3.92
2021-12-07,37.72,38.3,38.36,36.36,8.54,1.97
2021-12-06,35.76,37.56,37.6,35.68,7.67,4.8
2021-12-03,35.98,35.84,36.48,35.42,2.39,0.28
2021-12-02,35.96,35.74,36.68,35.34,7.77,-0.67
2021-12-01,35.32,35.98,36,35.12,3.9,4.78
2021-11-30,34.34,34.34,34.34,34.34,0,0
2021-11-29,33.78,34.34,34.8,33.1,3.74,1.54
2021-11-26,34.64,33.82,34.7,33.2,4.67,-4.14
2021-11-25,35,35.28,35.6,34.5,2.67,0.74
2021-11-24,35.6,35.02,36.04,34.8,3.04,-2.18
2021-11-23,34.5,35.8,36.04,34.1,6.61,3.77
2021-11-22,34.12,34.5,34.58,33,4.23,1.47
2021-11-19,34.54,34,35.2,32.66,8.42,-1.45
2021-11-18,35.1,34.5,35.1,33.5,10.58,-1.88
2021-11-17,30.88,35.16,35.18,30.74,22.17,13.86
2021-11-16,30.14,30.88,30.96,30.02,1.35,2.52
2021-11-15,31.64,30.12,31.64,30.02,2.66,-3.95
2021-11-12,31,31.36,31.7,31,1.16,0.58
2021-11-10,31.7,31.18,32,31,3.3,0.26
2021-11-09,31.9,31.1,32.2,30.92,1.76,-1.77
2021-11-08,32.1,31.66,32.68,31.34,2.04,-1.19
2021-11-05,31.9,32.04,32.48,31.52,4.47,0.95
2021-11-04,30.2,31.74,31.86,29.94,6.21,5.17
2021-11-03,29.96,30.18,30.46,29.6,2.17,1.14
2021-11-02,30,29.84,30.56,29.5,2.65,0.13
2021-10-29,31.4,29.8,31.5,29.8,4.43,-2.68
2021-10-28,30.8,30.62,30.9,30.2,2.2,0.13
2021-10-27,30.1,30.58,30.7,29.72,2.37,2.34
2021-10-26,29.82,29.88,30.16,29.7,1.44,-0.13
2021-10-25,29.8,29.92,30.16,29.66,1.91,0.74
2021-10-22,29.8,29.7,30.06,29.6,2.4,-0.4
2021-10-21,30.28,29.82,30.34,29.74,1.28,-0.86
2021-10-20,30.24,30.08,30.52,29.46,3.76,-0.4
2021-10-19,32.16,30.2,32.18,30.2,8.64,-6.04
2021-10-18,32.5,32.14,32.9,32,2.26,-1.11
2021-10-15,32.1,32.5,33.2,31.82,6.77,0.93
2021-10-14,32.5,32.2,32.94,31.92,2.61,-0.62
2021-10-13,33.46,32.4,33.56,32.2,4.04,-1.82
2021-10-12,32.7,33,33.58,32.2,7.52,0.3
2021-10-11,32.8,32.9,33.62,32.7,9.6,0.61
2021-10-08,30.2,32.7,32.96,30.2,17.27,8.35
2021-10-07,30.4,30.18,30.4,29.62,5.19,0.94
2021-10-06,29.48,29.9,30.5,29.4,7.04,2.12
2021-10-05,29.8,29.28,29.9,29.08,3.81,-0.75
2021-10-04,28.7,29.5,29.5,28.5,4.28,4.24
2021-10-01,28,28.3,28.7,27.64,2.02,1.07
2021-09-30,28.74,28,28.74,28,1.4,-1.62
2021-09-29,27.8,28.46,28.46,27.52,1.21,1.72
2021-09-28,28.22,27.98,28.52,27.86,1.6,-0.78
2021-09-27,28.88,28.2,28.9,28.18,1.79,-2.08
2021-09-24,29.1,28.8,29.1,28.44,2.31,0
