Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,51.66,53.2,53.74,51.02,15.45,0
2022-04-15,53.2,53.2,53.2,53.2,0,0
2022-04-14,51.66,53.2,53.74,51.02,15.77,3.54
2022-04-13,52.8,51.38,53.26,51.1,20.63,-2.69
2022-04-12,54.34,52.8,54.34,52.72,16.14,-2.83
2022-04-11,54,54.34,54.58,52.5,8.89,0.63
2022-04-08,54.76,54,54.76,52.8,11.45,0.07
2022-04-07,56.5,53.96,56.56,53.7,14.79,-3.81
2022-04-06,58.4,56.1,58.94,55.2,20.26,-3.34
2022-04-05,60.4,58.04,60.4,58,14.03,-2.62
2022-04-04,59.6,59.6,60.5,58.82,13.03,1.02
2022-04-01,59.84,59,60.34,58.74,15.52,-0.84
2022-03-31,62,59.5,62,59.5,24.07,-3.41
2022-03-30,61.6,61.6,63,60.66,26.21,0
2022-03-29,61.8,61.6,62.18,59.72,60.51,0.98
2022-03-28,60.3,61,62.5,60.3,28.99,2.25
2022-03-25,61,59.66,61.56,59.46,18,-1.71
2022-03-24,61.3,60.7,61.8,59.54,14.04,-0.49
2022-03-23,60.02,61,61.6,60.02,22.89,2.04
2022-03-22,60,59.78,60.8,59.26,13.07,0.07
2022-03-21,60.3,59.74,62.18,58.72,25.62,1.77
2022-03-18,61.04,58.7,61.8,58.7,45.56,-3.23
2022-03-17,57.98,60.66,60.68,56.2,51.61,8.32
2022-03-16,58.6,56,59.2,55.26,55.11,-2.61
2022-03-15,59.3,57.5,60.76,56.6,33.48,-3.13
2022-03-14,62.8,59.36,64.8,59.06,43.99,-5.63
2022-03-11,56.5,62.9,63.52,56.4,48.38,11.68
2022-03-10,56.5,56.32,58.2,54.82,24.03,3.53
2022-03-09,52,54.4,54.7,50.74,16.6,8.32
2022-03-08,50.9,50.22,51.9,49.5,15.8,-1.34
2022-03-07,50,50.9,52.24,47,18.93,-0.78
2022-03-04,53.76,51.3,53.76,49.76,20.76,-2.66
2022-03-03,53,52.7,53.96,51.12,21.31,-2.52
2022-03-02,56,54.06,56.32,52.16,18.63,-3.19
2022-03-01,54.22,55.84,57.9,53.7,26.68,4.18
2022-02-28,51.9,53.6,54.62,49.52,23.68,2.06
2022-02-25,46.7,52.52,53.48,46.7,29.22,14.9
2022-02-24,49.74,45.71,50.5,45,34.95,-15.94
2022-02-23,57.8,54.38,58.58,54.2,15.55,-4.76
2022-02-22,54,57.1,58,52.7,20.64,1.96
2022-02-21,59.6,56,59.8,54.8,26.14,-5.18
2022-02-18,58.7,59.06,59.8,57.98,13,0.37
2022-02-17,61.52,58.84,61.52,58.52,13.61,-3.38
2022-02-16,63.44,60.9,63.68,60.5,18.49,-1.49
2022-02-15,58.3,61.82,62.38,58.3,18.32,5.68
2022-02-14,59.22,58.5,60,57.64,26.76,-5.03
2022-02-11,63.66,61.6,63.8,60.72,19.72,-3.54
2022-02-10,66.52,63.86,67,62.86,24.37,-2.15
