Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,28.16,27.32,28.16,27.26,6.17,0
2022-04-15,27.32,27.32,27.32,27.32,0,0
2022-04-14,28.16,27.32,28.16,27.26,6.17,-2.43
2022-04-13,28.1,28,28.1,27.58,8.06,1.45
2022-04-12,28.12,27.6,28.38,27.6,41,-2.95
2022-04-11,28.2,28.44,28.62,28.02,16.03,1.35
2022-04-08,27.8,28.06,28.08,27.62,12.83,2.93
2022-04-07,28.38,27.26,28.38,27.26,15.86,-2.64
2022-04-06,28.28,28,28.28,27.7,13.77,0
2022-04-05,28.34,28,28.34,27.82,6.51,0
2022-04-04,28.6,28,28.6,27.82,6.13,-0.64
2022-04-01,27.92,28.18,28.18,27.66,10.13,1.51
2022-03-31,28.5,27.76,28.52,27.76,17.37,-3
2022-03-30,28.42,28.62,28.66,27.98,12.87,1.71
2022-03-29,28.36,28.14,28.52,27.64,14.22,1.22
2022-03-28,28.3,27.8,28.54,27.78,9.24,-1.42
2022-03-25,28.5,28.2,28.7,27.66,13.83,0.14
2022-03-24,28.86,28.16,28.86,28.12,15.05,-1.54
2022-03-23,28.6,28.6,28.8,28.24,8.55,0
2022-03-22,28.5,28.6,28.68,28.22,16.24,0
2022-03-21,27.34,28.6,28.82,27.3,16.07,2.88
2022-03-18,27.8,27.8,29.06,27.46,62.45,-0.71
2022-03-17,27.96,28,28.46,27.6,16.97,1.08
2022-03-16,27.6,27.7,27.7,27.16,18.29,2.06
2022-03-15,26.52,27.14,27.58,26.1,15.21,2.73
2022-03-14,27.76,26.42,27.76,26.42,13.69,-4.83
2022-03-11,26.4,27.76,27.9,26.4,13.99,5.15
2022-03-10,26.68,26.4,27.4,26.04,36.97,-1.35
2022-03-09,26.82,26.76,27.14,26.32,27.18,0.9
2022-03-08,27.22,26.52,27.74,26.28,16.8,-4.26
2022-03-07,26.82,27.7,27.8,26.56,21.53,2.14
2022-03-04,27.54,27.12,27.8,26.92,22.97,-1.81
2022-03-03,27.7,27.62,28,27.08,29.07,0.07
2022-03-02,27.02,27.6,27.86,26.66,21.69,0.95
2022-03-01,27.3,27.34,27.9,26.94,13.15,0.44
2022-02-28,26.96,27.22,28.24,26.92,24.25,-1.02
2022-02-25,27.2,27.5,27.92,26.22,19.56,1.03
2022-02-24,27,27.22,28.82,26.98,26.3,-5.02
2022-02-23,29.74,28.66,29.74,28.62,9.28,-3.95
2022-02-22,28.4,29.84,29.84,27.3,10.48,1.77
2022-02-21,30.4,29.32,30.66,29.28,6.33,-2.85
2022-02-18,30.48,30.18,30.92,30.06,6.58,-0.46
2022-02-17,30.26,30.32,30.58,29.78,11.14,0.66
2022-02-16,30.4,30.12,30.4,29.76,6.2,0.67
2022-02-15,29.46,29.92,30.4,29.42,9.45,1.42
2022-02-14,30.1,29.5,30.48,29.12,10.78,-1.67
2022-02-11,30.2,30,30.2,29.24,8.46,-0.66
2022-02-10,30.28,30.2,30.54,30.2,4.41,-0.79
2022-02-09,30.58,30.44,30.84,30.18,5.33,0.13
2022-02-08,30.02,30.4,30.78,30.02,10.79,0.66
2022-02-07,30.12,30.2,30.44,29.86,8.91,0.07
2022-02-04,30.42,30.18,30.9,30.18,7.88,-1.63
2022-02-03,30.96,30.68,31.18,30.68,2.97,-1.22
2022-02-02,30.66,31.06,31.24,30.62,11.63,0.65
2022-02-01,31.78,30.86,31.8,30.86,5.95,-1.91
2022-01-31,31.28,31.46,31.66,31.1,13.01,0.32
2022-01-28,31.74,31.36,31.94,31.1,9.18,-1.94
2022-01-27,31.84,31.98,31.98,31.08,6.72,0.76
2022-01-26,31.92,31.74,32.3,31.52,6.69,0.32
2022-01-25,32.4,31.64,32.42,31.38,9.37,-0.88
2022-01-24,32.58,31.92,32.58,31.7,15.92,-0.62
2022-01-21,32.44,32.12,32.78,32.02,20.26,-2.07
2022-01-20,32.94,32.8,33,32.6,16.96,0.74
2022-01-19,31.8,32.56,32.9,31.76,13.56,2.52
2022-01-18,31.84,31.76,31.94,31.42,13.25,0.06
2022-01-17,32.06,31.74,32.3,31.62,10.87,-1.43
2022-01-14,32.32,32.2,32.68,31.9,17.45,-1.47
2022-01-13,33,32.68,33,32.28,28.45,-0.55
2022-01-12,32.98,32.86,33.22,32.5,23.31,0.12
2022-01-11,33.56,32.82,33.6,32.8,11.85,-0.61
2022-01-10,32.9,33.02,33.56,32.9,8.75,-0.96
2022-01-07,33.4,33.34,34.26,32.76,22.74,-2.46
2022-01-05,34.38,34.18,34.38,33.82,8.24,0.83
2022-01-04,34.86,33.9,34.88,33.76,10.08,-2.64
2022-01-03,35.02,34.82,35.02,34.26,6.39,0.29
2021-12-31,34.72,34.72,34.72,34.72,0,0
2021-12-30,34.6,34.72,34.8,34.6,7.74,-0.23
2021-12-29,34.82,34.8,35.28,34.6,7.91,0.12
