Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,342.4,337.8,344,335.4,49.17,0
2022-04-15,337.8,337.8,337.8,337.8,0,0
2022-04-14,342.4,337.8,344,335.4,49.17,-1
2022-04-13,336.3,341.2,341.2,333.2,40.01,2.19
2022-04-12,331.3,333.9,336,325,54.54,1.27
2022-04-11,333.9,329.7,338.8,328.9,55.67,-1.29
2022-04-08,336.7,334,339.8,328.2,48.8,-0.06
2022-04-07,345.4,334.2,345.6,334.1,83.84,-2.05
2022-04-06,331.3,341.2,343.5,326.3,82.67,2.46
2022-04-05,343.9,333,347.3,330.5,49.07,-2.35
2022-04-04,346,341,346,338.6,29.14,-1.13
2022-04-01,340,344.9,344.9,338.3,50.8,1.29
2022-03-31,340.1,340.5,350.5,340,105.25,-1.45
2022-03-30,340.7,345.5,346.8,338.9,49.47,0.09
2022-03-29,342.6,345.2,348.7,334.4,69.94,1.26
2022-03-28,334.6,340.9,346,332.8,67.88,2.1
2022-03-25,330,333.9,340.3,330,81.01,1.3
2022-03-24,318.8,329.6,333,318.2,67.69,3.62
2022-03-23,315.8,318.1,319.6,315.3,50.14,0.16
2022-03-22,318,317.6,319.8,314.7,60.82,0.51
2022-03-21,312.4,316,319.8,310.6,53.42,0.86
2022-03-18,318,313.3,318,309.9,146.72,-0.54
2022-03-17,304,315,316.5,296.4,149.19,6.17
2022-03-16,284,296.7,301.7,279.4,128.67,7.85
2022-03-15,274.9,275.1,279.9,270.3,106.62,0.55
2022-03-14,289.2,273.6,289.2,273,97.22,-5.75
2022-03-11,265,290.3,291.5,260.8,82.35,9.09
2022-03-10,272.1,266.1,277.6,255.6,142.51,-0.49
2022-03-09,266.2,267.4,274,256.5,93.26,1.44
2022-03-08,269.2,263.6,276.6,261.7,99.33,-3.62
2022-03-07,267.9,273.5,278.5,257.7,132.62,1.07
2022-03-04,290.1,270.6,290.3,270.3,79.39,-6.69
2022-03-03,297.5,290,301,285.9,94.61,-2.68
2022-03-02,299.5,298,304.7,293,66.77,-0.37
2022-03-01,298,299.1,308.9,294.7,63.4,1.32
2022-02-28,279.3,295.2,298.6,275.7,90.98,3.58
2022-02-25,272,285,298.8,270.3,130.8,5.95
2022-02-24,255.5,269,280.4,240,158.96,-5.78
2022-02-23,287.3,285.5,294.7,281.9,87.89,0.18
2022-02-22,286.3,285,292.9,280.7,43.14,-1.38
2022-02-21,291,289,294,286,24.92,-0.38
2022-02-18,296,290.1,296,290,23.48,-1.99
2022-02-17,294.3,296,296,291,24.19,1.02
2022-02-16,297.3,293,298,290.6,37.48,-1.01
2022-02-15,285,296,297.9,284.6,42.15,5.15
2022-02-14,275,281.5,289.3,272.2,61.07,-0.32
2022-02-11,292.5,282.4,292.5,281.4,66.99,-3.78
2022-02-10,299.8,293.5,301.6,290.1,77.94,-1.97
2022-02-09,307.4,299.4,307.8,293.4,68.56,-1.84
2022-02-08,302.3,305,314.3,301.4,60.13,0.96
2022-02-07,305,302.1,310.5,301.4,26.48,-0.3
2022-02-04,310.1,303,315,302.2,51.2,-2.82
2022-02-03,322.9,311.8,323.6,308.4,39.49,-3.44
2022-02-02,312.5,322.9,325.7,312.5,84.59,3.33
2022-02-01,315,312.5,320,310.6,58.04,-0.48
2022-01-31,306.6,314,315.5,302.2,87.2,2.92
2022-01-28,316.2,305.1,322.1,304.6,84.93,-3.97
2022-01-27,339.3,317.7,339.3,315.1,83.75,-6.7
2022-01-26,342,340.5,346.8,340,45.76,-0.44
2022-01-25,348,342,349.1,339.1,55.79,-0.58
2022-01-24,347,344,353.8,342.4,114.34,-0.92
2022-01-21,335,347.2,350.4,335,84.89,3.55
2022-01-20,343.5,335.3,344.5,335,22.74,-2.1
2022-01-19,338,342.5,347.4,338,29.09,1.33
