Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,19.36,18.82,19.36,18.82,0.62,0
2022-04-15,18.82,18.82,18.82,18.82,0,0
2022-04-14,19.36,18.82,19.36,18.82,0.62,-1.88
2022-04-13,18.88,19.18,19.7,18.5,2.89,2.13
2022-04-12,18.89,18.78,18.92,18.44,1.18,-0.11
2022-04-11,19.26,18.8,19.26,18.6,2.54,-2.08
2022-04-08,19.3,19.2,19.36,18.8,4.73,0
2022-04-07,19.12,19.2,19.7,19.11,0.65,-1.03
2022-04-06,19.55,19.4,19.69,19.02,1.41,-0.77
2022-04-05,19.98,19.55,20.28,19.44,1.85,-2.1
2022-04-04,20.46,19.97,20.78,19.76,0.98,-0.65
2022-04-01,20.4,20.1,20.5,19.8,4.4,-0.5
2022-03-31,20.94,20.2,20.94,20.1,2.71,-2.42
2022-03-30,21.78,20.7,22,20.7,3.15,-1.52
2022-03-29,21.5,21.02,22.42,20.42,10.1,0.19
2022-03-28,19.72,20.98,21.8,19.72,5.17,7.59
2022-03-25,19.5,19.5,19.98,19.24,5.74,0
2022-03-24,19.5,19.5,20,19.4,1.44,0
2022-03-23,19.79,19.5,19.79,19.38,0.73,0.05
2022-03-22,19.86,19.49,19.86,19.2,1.04,0.98
2022-03-21,19.71,19.3,20.32,19.15,3.02,-2.23
2022-03-18,19.64,19.74,19.8,19.06,2.76,1.28
2022-03-17,20.58,19.49,20.58,18.95,3.82,-1.32
2022-03-16,18.64,19.75,20.2,18.6,6.62,6.76
2022-03-15,18.86,18.5,18.86,18.32,1.02,-0.64
2022-03-14,19.5,18.62,19.5,18.52,1.65,-4.02
2022-03-11,19.79,19.4,19.79,19.05,1.87,1.04
2022-03-10,19.94,19.2,19.99,19.1,3.01,-0.78
2022-03-09,19.5,19.35,20,18.65,3.41,1.84
2022-03-08,19.1,19,19.79,18.4,2.46,-1.81
2022-03-07,20.3,19.35,20.3,18.6,2.29,-4.68
2022-03-04,21,20.3,21.06,19.84,1.04,-3.33
2022-03-03,22,21,22,20.18,3.35,-0.28
2022-03-02,23.2,21.06,23.2,21.06,2.49,-8.03
2022-03-01,23.36,22.9,25.48,22,1.83,-0.43
2022-02-28,22.2,23,23.48,22.06,1.46,-2.04
2022-02-25,22.3,23.48,23.52,21.86,2.07,6.24
2022-02-24,21.56,22.1,22.46,18,8.92,-7.92
2022-02-23,24.5,24,25.44,23.82,1.42,-2.04
2022-02-22,23.56,24.5,24.9,23.4,2.12,1.24
2022-02-21,25.86,24.2,26.2,23.4,2.25,-7.14
2022-02-18,26.02,26.06,26.7,25.92,0.86,-1.73
2022-02-17,26.06,26.52,26.6,25.86,1.58,0.15
2022-02-16,26.8,26.48,26.8,26.04,0.94,-0.45
2022-02-15,26.3,26.6,26.9,26.3,1.5,0.3
2022-02-14,26,26.52,26.86,25.54,4.12,-4.19
2022-02-11,27.4,27.68,27.68,26.7,6.81,0.65
2022-02-10,27,27.5,27.7,26.9,0.7,3.15
2022-02-09,27.6,26.66,27.9,26.66,4.93,-2.98
