Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,9.2,9.24,9.25,9.14,1.42,0
2022-04-15,9.24,9.24,9.24,9.24,0,0
2022-04-14,9.2,9.24,9.25,9.14,1.42,0.82
2022-04-13,9.45,9.16,9.47,9.12,4.56,-1.82
2022-04-12,9.22,9.34,9.48,9.22,3.28,-0.27
2022-04-11,8.97,9.36,9.36,8.91,5.41,4.35
2022-04-08,8.9,8.97,9.07,8.77,5.82,1.7
2022-04-07,8.79,8.82,8.9,8.7,3.82,0.23
2022-04-06,8.99,8.8,8.99,8.64,6.56,-2.44
2022-04-05,8.9,9.02,9.02,8.83,2.78,2.73
2022-04-04,9.16,8.78,9.31,8.75,6.35,-3.99
2022-04-01,9.08,9.14,9.32,9.06,2.52,-0.49
2022-03-31,9.2,9.19,9.24,9.04,2.94,0
2022-03-30,9.09,9.19,9.19,8.99,3.48,2.34
2022-03-29,9.1,8.98,9.17,8.93,4.32,-1.37
2022-03-28,9.17,9.11,9.22,9,2.76,1.05
2022-03-25,9.31,9.01,9.31,8.94,5.95,-3.33
2022-03-24,9.38,9.32,9.38,9.16,6.17,1.53
2022-03-23,9.12,9.18,9.42,9.12,5.77,1.66
2022-03-22,9.07,9.03,9.3,9.01,6.44,-0.33
2022-03-21,9.2,9.06,9.42,9.05,6.47,0.22
2022-03-18,9.33,9.04,9.38,9.03,9.25,-3.11
2022-03-17,9.18,9.33,9.35,9.09,6.49,2.25
2022-03-16,9.21,9.13,9.3,8.99,4.11,-0.82
2022-03-15,8.85,9.2,9.2,8.82,3.11,3.37
2022-03-14,9.27,8.9,9.27,8.9,3.63,-3.99
2022-03-11,9.15,9.27,9.27,9.01,3.83,1.87
2022-03-10,9.17,9.1,9.19,8.96,2.1,-0.93
2022-03-09,9.21,9.19,9.4,8.91,3.15,-0.27
2022-03-08,9.54,9.21,9.67,9.09,4.54,-3.46
2022-03-07,8.89,9.54,9.67,8.55,15.71,9.47
2022-03-04,8.9,8.71,9.06,8.2,10.6,-0.97
2022-03-03,9.13,8.8,9.47,8.5,12.63,-2.22
