Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,71.94,74.5,74.92,71.44,72.08,0
2022-04-15,74.5,74.5,74.5,74.5,0,0
2022-04-14,71.38,74.5,74.92,71.38,87.47,5.05
2022-04-13,72,70.92,72.4,70.08,40.8,0.2
2022-04-12,70.5,70.78,71.74,69.3,73.41,-0.37
2022-04-11,68.06,71.04,71.2,67.4,65.03,2.99
2022-04-08,68.8,68.98,69.46,66.8,44.82,3.26
2022-04-07,68.14,66.8,70.08,65.88,79.85,-1.71
2022-04-06,71.5,67.96,72.5,67.74,111.79,-6.26
2022-04-05,71.9,72.5,74.8,69.54,162.38,0.83
2022-04-04,77,71.9,77,71.9,130.98,-6.62
2022-04-01,77.9,77,78.28,76,53.41,-1.03
2022-03-31,77.6,77.8,79.4,77,74.22,-1.52
2022-03-30,76.94,79,79.8,76.16,149.88,5.28
2022-03-29,79.5,75.04,79.74,71.6,205.32,-4.5
2022-03-28,74.9,78.58,78.8,74.34,109.41,4.44
2022-03-25,75.92,75.24,77.7,74.6,70.7,-2.08
2022-03-24,75.9,76.84,77.3,73.4,73.07,1.13
2022-03-23,74.8,75.98,77.94,73.6,101.99,1.99
2022-03-22,71,74.5,75.48,70.36,106.31,4.34
2022-03-21,70.7,71.4,72.3,69.78,64.1,2.29
2022-03-18,72.5,69.8,73.8,69.54,167.01,-3.43
2022-03-17,65,72.28,72.28,63.62,130.4,12.9
2022-03-16,67.78,64.02,68.9,64.02,75.41,-4.85
2022-03-15,66.8,67.28,67.3,63.52,89.89,0.33
2022-03-14,71,67.06,71.32,67.06,70.95,-4.88
2022-03-11,70,70.5,71.52,66.32,102.83,3.1
2022-03-10,63.34,68.38,70.6,61.7,134.75,6.84
2022-03-09,72,64,72.8,63,142.16,-8.86
2022-03-08,72.9,70.22,74.2,65.54,217.49,-1.65
2022-03-07,75,71.4,83.96,66.84,472.09,-0.28
2022-03-04,69.48,71.6,75.48,65.9,331.37,5.76
2022-03-03,77.88,67.7,77.98,61.2,436.56,-4.51
2022-03-02,56.1,70.9,70.9,55.62,392.89,31.3
2022-03-01,54,54,55.92,50.48,174.29,9.71
2022-02-28,41.8,49.22,51.5,41.26,206.51,17.75
2022-02-25,41.5,41.8,42.27,39.5,78.15,9.8
2022-02-24,40,38.07,43.15,36.51,129.4,-13.65
2022-02-23,46,44.09,47.3,43.8,57.03,-2.41
2022-02-22,40.43,45.18,45.69,40.2,68.02,7.96
2022-02-21,45.5,41.85,45.9,40.95,71.83,-6
2022-02-18,44.5,44.52,45.71,43.46,33.94,-0.07
2022-02-17,47.33,44.55,47.51,44.05,50.87,-5.23
2022-02-16,49,47.01,49.75,46.82,45.34,-2.06
2022-02-15,45.7,48,48.89,45.5,50.84,5.56
2022-02-14,46.28,45.47,47.69,44.75,64.34,-5.88
2022-02-11,47.5,48.31,48.9,46.33,38.96,-1
2022-02-10,48.95,48.8,50.26,47.47,47.97,0
2022-02-09,46.5,48.8,48.8,46.49,57.09,6.13
2022-02-08,45.23,45.98,45.99,44.67,27.22,0.99
2022-02-07,45.72,45.53,46.39,44.57,28.21,1.29
2022-02-04,44.9,44.95,45.84,43.03,54.44,0.22
2022-02-03,46.5,44.85,47.28,44.61,65.26,-4.49
2022-02-02,42.74,46.96,47.6,42.5,152.06,11.7
2022-02-01,40,42.04,42.12,39.02,38.46,6.3
2022-01-31,40.96,39.55,42.5,39.55,72.56,-1.86
2022-01-28,39.98,40.3,40.43,38.77,37.48,1.18
2022-01-27,37,39.83,40,36.81,51.48,5.37
2022-01-26,35.99,37.8,38.37,35.9,58.79,6.63
2022-01-25,35.35,35.45,36,33.46,59.53,3.05
2022-01-24,38.2,34.4,39.29,33.88,84.4,-11
2022-01-21,39.4,38.65,39.86,38.1,30.49,-4.09
2022-01-20,40.97,40.3,41.58,39.62,18.61,-1.61
2022-01-19,39.4,40.96,41.28,38.82,41.17,1.89
2022-01-18,41.5,40.2,41.65,39.98,32.18,-3.2
2022-01-17,41.5,41.53,42.7,40.72,82.88,3.8
2022-01-14,40,40.01,40.7,39.62,25.93,-0.97
2022-01-13,40.5,40.4,41.23,40.15,28.4,-0.86
2022-01-12,40,40.75,40.98,39.7,41.55,2.9
2022-01-11,38.9,39.6,39.6,37.83,26.31,3.37
2022-01-10,39.3,38.31,40.1,37.62,39.78,-0.08
2022-01-07,36.5,38.34,38.47,35.62,38.12,4.93
2022-01-05,35.67,36.54,36.64,35.31,21.59,3.05
2022-01-04,35.7,35.46,35.7,34.4,21,0.17
2022-01-03,35.1,35.4,36.35,35.1,29.16,1.52
2021-12-31,34.87,34.87,34.87,34.87,0,0
2021-12-30,35.78,34.87,36.26,34.55,26.96,-1.77
2021-12-29,33.89,35.5,35.58,33.58,28.68,4.44
2021-12-28,32.82,33.99,35,32.6,69.96,2.88
2021-12-27,34.5,33.04,34.81,32.4,68.12,-4.43
2021-12-24,34.57,34.57,34.57,34.57,0,0
2021-12-23,34.99,34.57,35.6,34.23,26.19,-0.52
2021-12-22,36.23,34.75,36.4,34.21,32.57,-3.28
2021-12-21,35.8,35.93,36.2,34.55,28.15,2.51
2021-12-20,35.73,35.05,36,33.8,77.36,-4.55
2021-12-17,38.44,36.72,38.53,36.45,60.91,-5.6
2021-12-16,37.5,38.9,38.9,37.26,46.26,7.4
2021-12-15,39.76,36.22,40.03,36.16,44.78,-8.9
2021-12-14,38.3,39.76,40.29,37.3,39.59,3.51
2021-12-13,40.16,38.41,40.88,38.15,39.15,-4.29
2021-12-10,40.68,40.13,41.77,40,22.8,-1.35
2021-12-09,42.5,40.68,42.93,40,35.81,-3.9
2021-12-08,42.8,42.33,44.4,42.21,39.35,0.31
2021-12-07,41.2,42.2,42.42,41.07,23.3,4.2
2021-12-06,41.3,40.5,41.9,40,19.08,-0.98
2021-12-03,42.41,40.9,42.85,40.9,19.22,-1.26
2021-12-02,41.9,41.42,42.29,40.73,18.47,-1.8
2021-12-01,41.75,42.18,43.2,41.3,40.22,6.81
2021-11-30,39.49,39.49,39.49,39.49,0,0
2021-11-29,39.2,39.49,39.64,37.14,50.74,3.87
2021-11-26,41,38.02,41.5,37.89,59,-11.17
2021-11-25,41.6,42.8,43,40.92,24.77,3.91
2021-11-24,42.05,41.19,42.65,40.78,21.73,-0.27
2021-11-23,42.18,41.3,43.35,41.3,32.36,-2.09
2021-11-22,41.2,42.18,42.3,39,44.16,2.88
2021-11-19,40.2,41,42.28,38.9,85.55,1.21
2021-11-18,44,40.51,44.5,40.31,54.13,-4.91
2021-11-17,43.52,42.6,44.2,42.5,25.37,-1.55
2021-11-16,42.7,43.27,44.48,42,53.68,1.26
2021-11-15,46.02,42.73,47.39,41.77,99.67,-8.29
2021-11-12,46.35,46.59,47,44.93,46.9,2.94
2021-11-10,49.3,45.26,50.02,44.84,84.72,-8.16
2021-11-09,51.98,49.28,52.5,49.28,25.62,-5.23
2021-11-08,49.2,52,52.28,48.8,28.1,5.39
2021-11-05,49.62,49.34,49.98,48.6,14.4,-0.3
2021-11-04,49.06,49.49,51,48.45,31.33,1.62
2021-11-03,47.88,48.7,49.51,47.1,43.4,2.53
2021-11-02,51,47.5,52.62,47.5,72.3,-8.3
2021-10-29,50.06,51.8,53.3,49.5,45.8,2.13
2021-10-28,50.86,50.72,51.68,49.4,31.85,-1.05
2021-10-27,52,51.26,52.56,50.56,40.93,-2.92
2021-10-26,54.2,52.8,54.56,52.66,22.22,-2.48
2021-10-25,52.6,54.14,54.74,52.56,56.31,4.12
2021-10-22,51.76,52,54.44,50.2,56.6,0.78
2021-10-21,53.6,51.6,54.76,51.52,56.19,-6.05
2021-10-20,55.5,54.92,56.9,51.74,104.79,-0.79
2021-10-19,62,55.36,62.48,55.02,126.5,-9.39
