Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,171.5,170.9,172.7,168.7,32.81,0
2022-04-15,170.9,170.9,170.9,170.9,0,0
2022-04-14,171.5,170.9,172.7,168.7,32.81,-0.06
2022-04-13,170,171,171.8,169.15,42.65,1.33
2022-04-12,170,168.75,170.95,167.7,74.21,-0.74
2022-04-11,166.5,170,170,164.15,59.53,1.8
2022-04-08,167.1,167,169.5,165.65,89.76,1.21
2022-04-07,171,165,171.7,165,88.76,-3.2
2022-04-06,172.7,170.45,173.05,165.1,95.25,-1.64
2022-04-05,175,173.3,176.15,172.15,61.56,-0.66
2022-04-04,175.85,174.45,176.4,172.2,40.15,-0.8
2022-04-01,173,175.85,176.9,171.5,83.18,1.71
2022-03-31,177,172.9,177.75,172.35,110.11,-2.48
2022-03-30,179.8,177.3,180.7,176.45,73.51,0.17
2022-03-29,182,177,182.4,176.3,161.26,-2.69
2022-03-28,176,181.9,182.4,175.2,98.85,2.57
2022-03-25,182,177.35,182.6,176,64.74,-2.66
2022-03-24,180,182.2,182.3,176.65,91,2.13
2022-03-23,179.6,178.4,181.95,175.9,59.14,-0.59
2022-03-22,173,179.45,179.9,172.7,176.26,2.6
2022-03-21,171.2,174.9,176.75,171.15,93.5,2.19
2022-03-18,176.3,171.15,178.35,170.3,254.77,-3
2022-03-17,173,176.45,176.45,170.1,118.5,3.16
2022-03-16,167.95,171.05,171.05,166.4,207.81,4.17
2022-03-15,166.6,164.2,167.95,160.65,134.89,-2
2022-03-14,172,167.55,173.85,167.55,105.84,-3.93
2022-03-11,181.2,174.4,182.25,173.4,137.08,-2.02
2022-03-10,169,178,182,167.6,222.47,4.61
2022-03-09,177,170.15,177,168.65,112.43,-1.76
2022-03-08,182,173.2,182.55,171.2,131.18,-1.62
2022-03-07,181.5,176.05,193.6,174.65,360.9,-1.21
2022-03-04,176.5,178.2,179.65,171.65,174.96,1.11
2022-03-03,179.5,176.25,182.5,173.7,181.41,-0.14
2022-03-02,168,176.5,179.5,166.3,228.76,6.23
2022-03-01,166.5,166.15,171.95,161.25,154.47,0.39
2022-02-28,154,165.5,165.5,153.8,247.73,6.29
2022-02-25,147.5,155.7,158,146.4,198.34,9.34
2022-02-24,143.25,142.4,146.1,140.3,158.86,-5.7
2022-02-23,158.35,151,160.5,151,138.81,-4.16
2022-02-22,148.35,157.55,157.85,147.6,117.04,3.35
2022-02-21,154.5,152.45,155.7,149.1,75.22,-0.39
2022-02-18,151.05,153.05,154.7,151.05,70.26,1.02
2022-02-17,154.3,151.5,155,151,67.39,-1.81
2022-02-16,156,154.3,157.1,152.7,80,0.19
2022-02-15,151,154,156.45,151,103.84,2.19
2022-02-14,149.5,150.7,151.35,145.25,112.24,-1.57
