Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,289,291,292,280.2,6.22,0
2022-04-15,291,291,291,291,0,0
2022-04-14,289,291,292,280.2,6.22,1.75
2022-04-13,295,286,296.8,282.4,7.21,-2.92
2022-04-12,292.6,294.6,300,290.6,9.9,0.61
2022-04-11,296.8,292.8,306,292.8,11.19,-1.35
2022-04-08,289.8,296.8,297,289.8,11.39,2.77
2022-04-07,293,288.8,295.6,288.6,14.45,-1.97
2022-04-06,300.2,294.6,303.2,294.2,11.52,-1.8
2022-04-05,304,300,306,298.2,7.93,-1.25
2022-04-04,306,303.8,308,303.8,12.4,-0.72
2022-04-01,312,306,312.2,304,7.51,-1.92
2022-03-31,302,312,312,297,24.06,1.3
2022-03-30,312,308,312.8,303.2,11.05,-1.85
2022-03-29,310.6,313.8,318.8,298.8,14.69,1.1
2022-03-28,315.2,310.4,319.2,310.4,10.49,-1.21
2022-03-25,318.6,314.2,318.8,308.2,19.16,-0.25
2022-03-24,305.2,315,321.4,304.6,31.37,3.96
2022-03-23,308.8,303,308.8,302.2,9.31,-0.33
2022-03-22,304.2,304,308,299.2,9.31,0
2022-03-21,293.8,304,304.6,293.8,18.13,2.29
2022-03-18,297,297.2,297.2,280.2,22.61,0.61
2022-03-17,291,295.4,298.6,279,29.3,2.29
2022-03-16,264.6,288.8,290,264.2,37.17,12.2
2022-03-15,259.8,257.4,265,257.4,7.99,-2.28
2022-03-14,272,263.4,272,260.6,7.65,1.31
2022-03-11,268.2,260,271.4,260,11.55,-0.91
2022-03-10,275,262.4,278,260,17.36,-2.67
2022-03-09,245.4,269.6,269.6,245,10.53,10.58
2022-03-08,244.8,243.8,250,239,14.58,1.58
2022-03-07,250.2,240,251.6,235.2,13.15,-5.73
2022-03-04,253.8,254.6,262.8,246.2,13.94,-1.77
2022-03-03,256.6,259.2,267,253.8,8.93,0.86
2022-03-02,257.8,257,264.8,253.2,8,-3.02
2022-03-01,261.8,265,271.6,261.4,6,1.22
2022-02-28,261,261.8,266.6,255.6,15.25,-3.96
2022-02-25,257,272.6,276.6,257,13.25,4.85
2022-02-24,260,260,270,244,30.72,-7.14
2022-02-23,276,280,285,274.4,23.95,2.19
2022-02-22,282.2,274,282.2,271.2,23.73,-5.39
2022-02-21,290.2,289.6,306.8,284.4,9.02,-0.41
2022-02-18,306,290.8,309.4,283.4,18.33,-5.58
2022-02-17,303,308,315.8,301,13.78,0.65
2022-02-16,306,306,312.2,300.4,7.75,0
2022-02-15,293.2,306,306,293.2,6.88,4.58
2022-02-14,305.4,292.6,308.6,292,11.72,-6.22
2022-02-11,304.8,312,312,303.4,10.27,2.7
2022-02-10,305.8,303.8,312.8,302.2,9.92,0.6
2022-02-09,314,302,318.4,302,16.09,-4.13
2022-02-08,314,315,322.6,310.8,12.17,0.32
2022-02-07,308,314,319,305.4,10.5,2.48
2022-02-04,315.2,306.4,319,305.2,12.93,-3.4
2022-02-03,327.8,317.2,327.8,315,11.46,-3.35
2022-02-02,321.2,328.2,332.8,321.2,12.89,2.31
2022-02-01,327,320.8,328,320.4,9.48,-2.14
2022-01-31,326.6,327.8,334.6,324,6.7,1.17
2022-01-28,326.6,324,328.6,318.8,5.46,-1.22
2022-01-27,324.8,328,332,323.6,3.32,-0.43
2022-01-26,328.4,329.4,335.8,326,8.03,0.37
2022-01-25,330,328.2,332.6,322,13.35,-0.55
2022-01-24,337,330,347.8,319.2,21.35,-3.79
2022-01-21,344.4,343,348,340,9.35,-2.22
2022-01-20,350.8,350.8,350.8,340,8.84,-0.06
2022-01-19,339,351,358.6,337.2,9.89,2.63
2022-01-18,340.2,342,344,339,4.52,-0.18
2022-01-17,342,342.6,345,338.6,2.04,0.18
2022-01-14,342.6,342,346,333.2,13.79,0.59
2022-01-13,342,340,344.4,335.2,8.3,0
2022-01-12,334,340,347.2,332.6,13.08,2.41
2022-01-11,327,332,337.2,321.6,16.42,2.79
2022-01-10,330,323,331.6,317.4,13.45,-1.46
2022-01-07,337.8,327.8,338,320.2,13.74,-2.96
2022-01-05,338,337.8,343,333.4,12.48,0.78
2022-01-04,322,335.2,340.2,322,19.77,4.29
2022-01-03,325,321.4,328.2,319.6,11.91,-1.71
2021-12-31,327,327,327,327,0,0
2021-12-30,310,327,332,305,50.42,2.83
2021-12-29,323.2,318,331.2,318,32.78,-2.15
2021-12-28,339.4,325,347.8,325,15.9,-4.41
2021-12-27,346.2,340,353.6,340,11.42,-2.86
2021-12-24,350,350,350,350,0,0
2021-12-23,344,350,355,343,10.06,2.34
2021-12-22,345,342,352.2,341,7.92,-0.87
2021-12-21,340,345,354.6,340,8.03,1.47
2021-12-20,341.8,340,346.6,332.2,8.71,-1.16
2021-12-17,355.4,344,361.6,342.2,18.26,-3.15
2021-12-16,356.2,355.2,363,355.2,6.94,-0.34
2021-12-15,356,356.4,359.2,355,7.53,0.39
2021-12-14,355,355,363.6,348.6,8.23,0
2021-12-13,354.2,355,363.6,353.4,8.19,0
2021-12-10,347.6,355,367,341.2,10.7,0.79
2021-12-09,359,352.2,359,350,1.37,-1.89
2021-12-08,363.8,359,364.4,353.4,6.91,-1.37
2021-12-07,337,364,365,336.8,14.78,7.06
2021-12-06,348.6,340,349,331.6,14.89,-4.28
2021-12-03,364,355.2,370,350.4,8.23,-2.36
2021-12-02,355,363.8,367.2,348.4,7.95,1.73
2021-12-01,340,357.6,359,340,11.38,3.95
2021-11-30,344,344,344,344,0,0
2021-11-29,338.2,344,344,322.8,13.1,2.87
2021-11-26,322,334.4,345.8,318.4,15.67,3.21
2021-11-25,320,324,330.2,320,10.54,0.25
2021-11-24,329,323.2,330,316.4,9.12,-2.06
2021-11-23,326.2,330,334.8,323.2,5.89,0
2021-11-22,327,330,335,320.6,6.82,0.3
2021-11-19,330,329,332.8,323.4,6.49,-1.61
2021-11-18,341.6,334.4,345.8,330,9.84,-2.22
2021-11-17,357,342,357,340.2,4.68,-4.2
2021-11-16,352.6,357,360.4,352.6,4.94,0.85
2021-11-15,365,354,376,354,3.79,-2.85
2021-11-12,363.4,364.4,378.4,361.6,8.55,-1.25
2021-11-10,374.8,369,374.8,365.4,6.69,-1.6
2021-11-09,382,375,382,372.2,5.03,-0.58
2021-11-08,385.4,377.2,385.4,366.6,11.56,-2.88
2021-11-05,385,388.4,393,378.8,7.64,0.1
2021-11-04,350,388,392.8,350,31.74,11.37
2021-11-03,338.2,348.4,348.8,338,16.36,1.93
2021-11-02,332.8,341.8,344.6,332.8,3.14,2.77
2021-10-29,339,332.6,344,332,4.34,-2.46
2021-10-28,327,341,341,326.4,3.75,4.67
2021-10-27,341.6,325.8,341.6,321.8,9.7,-4.68
2021-10-26,341.2,341.8,343,338.6,3.54,0.83
2021-10-25,334,339,345.6,333.2,6.46,1.07
2021-10-22,338,335.4,340,333.8,2.58,0.66
