Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,636,627,641,627,1.69,0
2022-04-15,627,627,627,627,0,0
2022-04-14,636,627,641,627,1.69,-0.48
2022-04-13,631,630,640,622,2.19,0
2022-04-12,629,630,630,619,2.9,0.8
2022-04-11,620,625,627,608,3.94,1.13
2022-04-08,619,618,623,616,1.5,0.65
2022-04-07,618,614,628,614,1.72,-1.29
2022-04-06,628,622,629,618,1.93,-1.43
2022-04-05,650,631,650,628,2.66,-3.37
2022-04-04,635,653,658,615,6.37,4.15
2022-04-01,610,627,627,610,1.47,3.47
2022-03-31,633,606,633,606,4.38,-2.57
2022-03-30,630,622,636,622,4.9,-0.8
2022-03-29,655,627,655,627,3.21,-2.79
2022-03-28,640,645,649,624,8.38,0.62
2022-03-25,662,641,662,636,5.83,-3.03
2022-03-24,661,661,675,640,11.76,1.54
2022-03-23,624,651,654,612,14.48,4.33
2022-03-22,619,624,624,608,2.61,2.3
2022-03-21,628,610,628,596,5.65,-2.4
2022-03-18,583,625,625,574,10.81,7.57
2022-03-17,569,581,582,569,3.69,2.65
2022-03-16,543,566,566,540,7.75,4.81
2022-03-15,528,540,548,523,7.33,2.27
2022-03-14,546,528,546,523,6.77,-2.04
2022-03-11,547,539,550,532,14.18,-2.18
2022-03-10,553,551,554,543,7.79,0.92
2022-03-09,524,546,553,523,7.19,4.6
2022-03-08,544,522,545,520,5.75,-4.04
2022-03-07,530,544,550,520,4.05,3.42
2022-03-04,563,526,563,526,4.17,-6.41
2022-03-03,565,562,577,558,2.25,-0.18
2022-03-02,551,563,565,550,3.02,1.99
2022-03-01,574,552,579,552,4.09,-4
2022-02-28,568,575,575,547,8.3,0.88
2022-02-25,549,570,589,547,7.93,6.34
2022-02-24,566,536,567,506,10.33,-9.76
2022-02-23,595,594,598,576,3.75,-0.17
2022-02-22,577,595,598,570,4.2,2.59
2022-02-21,592,580,598,576,2.64,-2.03
2022-02-18,576,592,595,576,1.69,2.78
2022-02-17,594,576,600,573,3.36,-3.03
2022-02-16,598,594,603,590,1.81,0.17
2022-02-15,592,593,602,592,1.92,0.17
2022-02-14,594,592,603,579,4.75,-1.17
2022-02-11,603,599,603,592,0.9,-0.66
2022-02-10,603,603,603,595,2.63,0.5
2022-02-09,612,600,612,599,2.87,-0.99
2022-02-08,624,606,624,600,2.32,-2.26
2022-02-07,600,620,621,596,1.82,4.03
2022-02-04,622,596,622,590,2.65,-3.72
2022-02-03,618,619,620,611,0.94,0
2022-02-02,610,619,622,607,2.58,2.15
2022-02-01,610,606,619,606,1.43,-0.16
2022-01-31,633,607,633,607,3.55,-4.26
2022-01-28,627,634,634,604,4.4,1.12
2022-01-27,621,627,627,610,4.78,0.97
2022-01-26,608,621,627,608,2.52,0.49
2022-01-25,618,618,625,609,2.24,0
2022-01-24,628,618,631,599,3.47,-1.9
2022-01-21,645,630,645,630,1.9,-2.78
2022-01-20,655,648,660,640,2.66,-0.15
2022-01-19,640,649,665,638,4.07,-0.15
2022-01-18,666,650,666,638,5.89,-2.26
