Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,11110,11090,11200,11000,14.87,0
2022-04-15,11090,11090,11090,11090,0,0
2022-04-14,11110,11090,11200,11000,14.87,0.18
2022-04-13,10810,11070,11140,10790,27.5,2.59
2022-04-12,10880,10790,10980,10700,19.89,-0.74
2022-04-11,10800,10870,11150,10630,25.33,-0.46
2022-04-08,10670,10920,11060,10540,31.92,4.5
2022-04-07,10500,10450,10770,10110,39.64,-0.48
2022-04-06,11000,10500,11000,10370,32.68,-4.55
2022-04-05,11400,11000,11590,10920,28.46,-3.51
2022-04-04,11390,11400,11830,11340,42.58,1.33
2022-04-01,11670,11250,11740,11250,24.84,-1.92
2022-03-31,12490,11470,12490,11400,96.59,-8.24
2022-03-30,11790,12500,12750,11720,83.25,6.11
2022-03-29,11400,11780,11960,11000,69.84,5.84
2022-03-28,10940,11130,11180,10610,26.23,1.83
2022-03-25,11300,10930,11430,10750,35.68,-3.02
2022-03-24,10690,11270,11350,10670,24.33,5.72
2022-03-23,10800,10660,11000,10590,39.07,-1.11
2022-03-22,10420,10780,10820,10220,60.71,4.26
2022-03-21,10800,10340,10800,10030,41.54,-4.26
2022-03-18,10400,10800,10800,10160,153.47,3.45
2022-03-17,9830,10440,10440,9795,93.36,7.57
2022-03-16,8850,9705,9850,8830,77.66,10.85
2022-03-15,8755,8755,9460,8735,55.11,-1.74
2022-03-14,10000,8910,10000,8910,59.69,-10.9
2022-03-11,9415,10000,10160,9350,71.42,6.33
2022-03-10,9680,9405,10340,9255,67.24,-0.48
2022-03-09,8400,9450,9675,8270,67.63,15.81
2022-03-08,7800,8160,8400,7710,45.68,1.94
2022-03-07,7800,8005,8420,7450,50.22,-1.42
2022-03-04,8450,8120,8450,7915,68.44,-3.91
2022-03-03,8900,8450,8980,8210,57.69,-4.52
2022-03-02,9275,8850,9495,8730,70.23,-3.44
2022-03-01,8680,9165,9435,8680,68.17,5.89
2022-02-28,8705,8655,9320,8425,120.99,-9.75
2022-02-25,10110,9590,10900,8850,138.96,-0.62
2022-02-24,10940,9650,11750,9515,79.51,-25.19
2022-02-23,14280,12900,14280,12870,42.65,-10.23
2022-02-22,14020,14370,14570,14020,35.52,-2.64
2022-02-21,14900,14760,15390,14430,21.47,-1.6
2022-02-18,15710,15000,15720,14950,39.49,-3.91
2022-02-17,16000,15610,16090,15530,22.53,-1.45
2022-02-16,15820,15840,15950,15710,13.63,0.44
2022-02-15,15390,15770,16070,15380,27.07,2.4
2022-02-14,15260,15400,15600,14930,37.56,-3.27
2022-02-11,15700,15920,15940,15350,20.04,1.86
2022-02-10,16050,15630,16050,15560,16.44,-2.31
2022-02-09,15800,16000,16240,15730,23.49,0.06
2022-02-08,15420,15990,16030,15260,36.71,3.83
2022-02-07,15440,15400,15810,15300,26.25,0.33
2022-02-04,15750,15350,15820,15260,39.93,-1.29
2022-02-03,15670,15550,15740,15510,26.43,-1.71
2022-02-02,15750,15820,15980,15520,39.89,1.22
2022-02-01,15900,15630,16000,15500,35.74,-1.64
2022-01-31,15700,15890,16030,15600,43.14,1.15
2022-01-28,15910,15710,15950,15300,43.03,-1.81
2022-01-27,15630,16000,16250,15500,43.08,-1.23
2022-01-26,15940,16200,16470,15880,18.74,1.25
2022-01-25,15600,16000,16230,15600,38.98,1.01
2022-01-24,16560,15840,16910,15630,32.26,-4.06
2022-01-21,16470,16510,16760,15880,56.88,0.06
2022-01-20,17500,16500,17500,16380,70.74,-5.71
2022-01-19,17530,17500,18340,17500,46.4,-0.23
2022-01-18,17850,17540,17920,17540,25.4,-1.74
2022-01-17,17980,17850,18120,17730,26.12,-1.33
2022-01-14,18050,18090,18480,17800,35.64,-0.6
2022-01-13,18510,18200,19010,18150,38.16,-3.04
2022-01-12,18410,18770,19040,17980,75.19,2.34
2022-01-11,18400,18340,18780,17970,67.55,0.71
2022-01-10,18120,18210,18490,17860,58.9,-0.49
2022-01-07,17400,18300,18300,17260,81.88,3.27
2022-01-05,17000,17720,17720,16950,31.39,2.55
2022-01-04,16900,17280,17290,16780,35.79,2.92
2022-01-03,17250,16790,17430,16360,42.94,-2.38
2021-12-31,17200,17200,17200,17200,0,0
2021-12-30,17250,17200,17370,17010,20.84,0.23
2021-12-29,16990,17160,17480,16990,29.27,0.35
2021-12-28,17350,17100,17370,16980,41.45,-0.58
2021-12-27,17500,17200,17500,16940,26.86,-0.35
2021-12-24,17260,17260,17260,17260,0,0
2021-12-23,17330,17260,17330,17110,17.03,0.35
2021-12-22,17420,17200,17440,17030,20.84,0
2021-12-21,17120,17200,17570,17050,30.89,0.47
2021-12-20,16840,17120,17240,16410,34.55,-1.89
2021-12-17,17460,17450,17460,17190,112.86,0.87
2021-12-16,17960,17300,17960,17180,39.73,-1.42
2021-12-15,18080,17550,18100,17310,57.29,-2.12
2021-12-14,17750,17930,18380,17700,59.41,1.7
2021-12-13,17500,17630,17890,17380,56.08,1.91
2021-12-10,15950,17300,17770,15760,202.14,10.19
2021-12-09,14700,15700,15810,14700,201.42,14.68
2021-12-08,13700,13690,13910,13400,25.08,0.66
2021-12-07,13270,13600,13850,13180,35.64,3.42
2021-12-06,13040,13150,13280,13000,16.37,0.84
2021-12-03,13370,13040,13480,12910,27.26,-2.47
2021-12-02,13200,13370,13470,13140,22.27,-0.15
2021-12-01,13390,13390,13620,12940,29.59,8.6
2021-11-30,12330,12330,12330,12330,0,0
2021-11-29,12130,12330,12480,11710,21.69,3.44
2021-11-26,12110,11920,12140,11750,21.09,-4.03
