Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,75.32,72.92,76.12,72.5,34.81,0
2022-04-15,72.92,72.92,72.92,72.92,0,0
2022-04-14,74.78,72.92,76.12,72.5,35.79,-2.51
2022-04-13,70.5,74.8,75,69.92,74.7,6.1
2022-04-12,68,70.5,71.9,66.82,62.06,3.22
2022-04-11,64.6,68.3,68.4,64.12,45.1,5.73
2022-04-08,61.6,64.6,64.64,61.6,32.06,4.7
2022-04-07,60.8,61.7,62.18,60.78,20.27,1.41
2022-04-06,60,60.84,60.92,59.54,31.89,1.5
2022-04-05,60.66,59.94,60.84,59.8,49.34,0.1
2022-04-04,59.12,59.88,60.9,58.86,26.5,1.77
2022-04-01,58.7,58.84,59.26,58.06,15.75,-0.1
2022-03-31,58.22,58.9,59.76,58.18,17.89,0.34
2022-03-30,58.6,58.7,59.18,57.8,14.25,0.69
2022-03-29,58.7,58.3,58.98,57.48,20.15,-0.68
2022-03-28,58.64,58.7,59.8,58.64,12.74,-1.84
2022-03-25,60.2,59.8,60.5,58.68,22.55,-1.32
2022-03-24,59.48,60.6,60.8,57.9,28.42,3.13
2022-03-23,58.5,58.76,60.16,57.66,18.24,-0.24
2022-03-22,58.82,58.9,61,58.6,27.46,-0.74
2022-03-21,57.42,59.34,59.34,57,14.06,4.03
2022-03-18,56.68,57.04,57.62,55.86,52.01,0.64
2022-03-17,56.18,56.68,56.8,55.54,22.89,1.47
2022-03-16,57.26,55.86,57.26,55.48,18.85,-1.38
2022-03-15,54.5,56.64,57.16,54.18,15.57,3.17
2022-03-14,57,54.9,57.2,54.48,25.25,-3.68
2022-03-11,54.22,57,57.12,54.12,19.58,4.7
2022-03-10,54,54.44,55.64,53.98,11.57,-0.26
2022-03-09,58.02,54.58,58.32,54.24,23.87,-3.67
2022-03-08,55.84,56.66,58.2,55,18.23,-0.6
2022-03-07,55.02,57,58.38,52.46,20.52,4.59
2022-03-04,57.98,54.5,58.26,53.94,47.49,-5.45
2022-03-03,59,57.64,59.9,55,30.62,-0.65
2022-03-02,54,58.02,58.02,53.1,35.52,7.4
