Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,66.28,66.78,66.98,65.74,0.76,0
2022-04-15,66.78,66.78,66.78,66.78,0,0
2022-04-14,66.28,66.78,66.98,65.74,0.76,0.78
2022-04-13,66.9,66.26,68,66.1,0.83,-0.93
2022-04-12,68,66.88,68.8,66.66,1.25,-1.65
2022-04-11,67.5,68,69.5,67.02,1.22,0.92
2022-04-08,67,67.38,69,66.66,1.46,0.57
2022-04-07,69,67,69.72,67,1.55,-2.9
2022-04-06,70.62,69,71.3,68.12,2.2,-2.29
2022-04-05,72.1,70.62,73.5,70.04,2.4,-2.19
2022-04-04,76.38,72.2,77.44,72.2,2.25,-5.5
2022-04-01,72.32,76.4,76.5,72.32,2.68,6.08
2022-03-31,73,72.02,74.8,72,2.18,-0.91
2022-03-30,71.5,72.68,72.68,71,1.48,3.3
2022-03-29,71.5,70.36,72.6,70.2,2.51,-0.85
2022-03-28,71.2,70.96,73.34,70.6,3.6,0.8
2022-03-25,71.72,70.4,71.88,69.52,3.85,-1.84
2022-03-24,73.82,71.72,73.88,71.7,2.21,-1.48
2022-03-23,74.4,72.8,75.78,72.06,1.95,-0.82
2022-03-22,77.98,73.4,77.98,73.32,5.96,-4.33
2022-03-21,78,76.72,80.58,76.46,3.42,0.08
2022-03-18,79.5,76.66,80.4,76.62,11.95,-3.33
2022-03-17,78.88,79.3,81.46,77.64,3.95,0.63
2022-03-16,81.82,78.8,81.86,77.64,3.2,-2.11
2022-03-15,84,80.5,86.46,78.12,5.81,-2.99
2022-03-14,79.9,82.98,87.08,79.36,9.48,4.77
2022-03-11,77.8,79.2,79.52,76.1,4.55,2.09
2022-03-10,72.04,77.58,81.72,71.12,9.68,8.14
2022-03-09,70,71.74,71.86,68.6,2.99,4.73
2022-03-08,67.8,68.5,71.48,66.8,3.66,0.74
2022-03-07,66.1,68,70.82,64.82,6.1,1.49
2022-03-04,74.5,67,76,66.5,4.48,-9.8
2022-03-03,76.3,74.28,78.1,73,5.48,-0.96
2022-03-02,69,75,77.9,67.3,9.35,8.7
2022-03-01,67.48,69,70.68,62.36,8.1,2.99
2022-02-28,57,67,67,55.28,10.06,15.12
2022-02-25,52.6,58.2,58.9,51.04,7.13,15.25
2022-02-24,50.9,50.5,54.48,46.99,7.83,-13.23
2022-02-23,62.48,58.2,63,57.8,2.45,-6.04
2022-02-22,57.6,61.94,62.64,56.2,3.39,3.58
2022-02-21,64,59.8,64,59.44,4.96,-5.8
2022-02-18,63.36,63.48,65.7,62.7,3.67,-0.35
2022-02-17,68.52,63.7,69.4,63.7,7.8,-7.01
2022-02-16,69.8,68.5,70.54,67.72,2.72,-1.01
2022-02-15,68.76,69.2,70.98,68.7,3.3,0.58
2022-02-14,72.7,68.8,72.7,68.66,6.68,-6.39
2022-02-11,74.4,73.5,75.4,73.4,1.27,-2.52
2022-02-10,76,75.4,76.2,74,1.95,-0.26
2022-02-09,75.7,75.6,76.44,75.02,1.9,0.13
2022-02-08,74.1,75.5,76.52,74.02,3.3,1.86
2022-02-07,77,74.12,77.64,74.02,3.12,-1.7
2022-02-04,75.28,75.4,78.7,74.52,6.98,-0.32
2022-02-03,85.6,75.64,85.6,75.5,19.02,-10.34
2022-02-02,72.5,84.36,85.2,72.5,40.01,15.94
2022-02-01,74,72.76,74.78,72.56,2.54,-1.68
2022-01-31,74.2,74,75.74,72.2,3.99,0.98
2022-01-28,73.5,73.28,76.56,71.2,7.38,2.78
2022-01-27,71.78,71.3,75.4,69.8,5.87,-2.03
2022-01-26,71.36,72.78,74.4,71.36,4.86,2.02
2022-01-25,70.22,71.34,73.88,68.82,7.51,1.91
2022-01-24,76,70,78.14,69.02,16.08,-7.53
2022-01-21,87,75.7,87.36,75.66,30.11,-13.19
2022-01-20,86.44,87.2,91.48,86,25.95,-11.92
2022-01-19,100.1,99,101.5,98.44,5.15,-1.98
2022-01-18,103.55,101,103.85,100.5,3.58,-2.46
2022-01-17,105,103.55,105,101.6,4.41,-0.24
2022-01-14,104.55,103.8,105.65,103.05,5.02,-1.7
2022-01-13,105.5,105.6,106.8,103.8,5.25,0.38
2022-01-12,103.55,105.2,106.2,102.65,7.75,1.84
2022-01-11,100.05,103.3,104.05,100.05,4.04,3.2
2022-01-10,102.4,100.1,105.75,100.05,6.52,-1.96
2022-01-07,102.6,102.1,104.2,100.4,4.91,-0.68
2022-01-05,98.7,102.8,106.9,98.14,14.1,4.9
2022-01-04,98.1,98,99.1,97.02,2.11,0.08
2022-01-03,97,97.92,100.95,96.92,5.1,0.95
2021-12-31,97,97,97,97,0,0
2021-12-30,99.58,97,101.65,96.6,5.76,-2.02
2021-12-29,95,99,99.72,94.6,10.14,4.08
2021-12-28,95.5,95.12,98.2,94.5,13.1,-0.85
2021-12-27,100,95.94,100.85,94.8,13.08,-2.95
2021-12-24,98.86,98.86,98.86,98.86,0,0
2021-12-23,101.5,98.86,101.95,96.32,10.67,-2.12
