Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,6.77,6.68,6.77,6.63,12.62,0
2022-04-15,6.68,6.68,6.68,6.68,0,0
2022-04-14,6.77,6.68,6.77,6.63,12.62,-0.98
2022-04-13,6.65,6.75,6.75,6.58,24.42,2.27
2022-04-12,6.59,6.6,6.65,6.55,23.16,0.64
2022-04-11,6.48,6.56,6.58,6.41,24.3,1.61
2022-04-08,6.37,6.45,6.49,6.27,26.09,2.51
2022-04-07,6.49,6.3,6.49,6.29,29.54,-2.9
2022-04-06,6.19,6.48,6.48,6.18,25.48,5.33
2022-04-05,6.31,6.16,6.35,6.16,16.29,-1.97
2022-04-04,6.25,6.28,6.35,6.24,11.46,0.93
2022-04-01,6.23,6.22,6.36,6.18,17.34,0.26
2022-03-31,6.38,6.21,6.39,6.21,35.34,-2.21
2022-03-30,6.42,6.35,6.45,6.22,50.37,-0.56
2022-03-29,6.6,6.38,6.63,6.32,40.59,-3.3
2022-03-28,6.59,6.6,6.72,6.55,21.78,-1.17
2022-03-25,6.67,6.68,6.78,6.56,26.47,0.09
2022-03-24,6.62,6.67,6.9,6.44,41.53,0.06
2022-03-23,6.69,6.67,6.78,6.63,17.76,-0.77
2022-03-22,6.75,6.72,6.8,6.61,32.61,-0.39
2022-03-21,6.6,6.75,6.98,6.6,28.62,1.72
2022-03-18,6.85,6.63,6.94,6.61,96.15,-3.18
2022-03-17,6.4,6.85,6.85,6.35,38.28,6.04
2022-03-16,6.6,6.46,6.63,6.36,47.45,-2.18
2022-03-15,6.55,6.6,6.68,6.49,38.55,0
2022-03-14,6.85,6.6,6.88,6.6,31.79,-4.76
2022-03-11,6.65,6.93,6.98,6.6,32.05,3.49
2022-03-10,6.6,6.7,6.73,6.47,39.23,0.09
2022-03-09,7.15,6.69,7.15,6.49,47.36,-4.64
2022-03-08,7.32,7.02,7.34,6.85,45.81,-3.15
2022-03-07,7,7.25,7.5,6.99,100.37,6.15
2022-03-04,6.87,6.83,7.2,6.62,61.52,-2.46
2022-03-03,6.9,7,7.15,6.42,108.97,2.31
2022-03-02,5.9,6.84,6.88,5.81,113.33,17.97
2022-03-01,5.66,5.8,6.04,5.61,64.02,4.17
2022-02-28,5.3,5.57,5.64,5.17,66.72,3.11
2022-02-25,5.26,5.4,5.44,5.13,31.67,3.01
2022-02-24,5.11,5.24,5.36,5,33.8,-4.93
2022-02-23,5.7,5.51,5.84,5.51,22.94,-1.99
2022-02-22,5.13,5.63,5.69,5.02,55.93,9.33
2022-02-21,5.35,5.15,5.42,5.13,9.9,-3.45
2022-02-18,5.39,5.33,5.5,5.31,11.45,-1.66
2022-02-17,5.47,5.42,5.5,5.36,16.02,-0.11
2022-02-16,5.47,5.43,5.47,5.37,19.25,0.15
2022-02-15,5.28,5.42,5.45,5.25,19.9,3.2
2022-02-14,5.3,5.25,5.32,5.14,18.51,-3.95
2022-02-11,5.4,5.47,5.5,5.4,5.72,-0.11
2022-02-10,5.4,5.47,5.52,5.36,9.64,1.33
2022-02-09,5.45,5.4,5.57,5.35,19.51,-0.84
2022-02-08,5.4,5.45,5.45,5.34,18.23,1.72
2022-02-07,5.29,5.35,5.38,5.2,13.22,1.98
2022-02-04,5.5,5.25,5.55,5.25,15.76,-4.68
2022-02-03,5.34,5.51,5.54,5.34,14.63,3.3
2022-02-02,5.32,5.33,5.36,5.25,14.15,0.19
2022-02-01,5.33,5.32,5.35,5.27,9.75,0.11
2022-01-31,5.32,5.32,5.4,5.26,18.8,0.72
2022-01-28,5.3,5.28,5.33,5.17,22.57,-0.45
2022-01-27,5.29,5.3,5.33,5.24,14.6,-0.53
2022-01-26,5.31,5.33,5.39,5.31,14.85,0.49
2022-01-25,5.33,5.3,5.39,5.23,26.45,0.08
2022-01-24,5.64,5.3,5.64,5.2,29.86,-6.09
2022-01-21,5.7,5.64,5.7,5.56,20.18,-1.36
2022-01-20,5.69,5.72,5.79,5.66,13.19,0.56
2022-01-19,5.66,5.69,5.75,5.55,15.13,-0.28
2022-01-18,5.82,5.71,5.82,5.71,11.21,-2.29
2022-01-17,6.01,5.84,6.04,5.71,44.42,-3.47
2022-01-14,6.18,6.05,6.22,6.05,32.93,-2.14
2022-01-13,6.25,6.18,6.41,6.18,32.65,-0.64
2022-01-12,6.16,6.22,6.24,6.08,31.67,2.47
2022-01-11,6.01,6.07,6.16,5.93,28.5,-1.49
2022-01-10,6.25,6.16,6.25,6.11,24.21,-1.53
2022-01-07,6.28,6.26,6.29,6.11,25.23,-0.48
2022-01-05,6.23,6.29,6.33,6.23,23.29,0.22
2022-01-04,6.34,6.28,6.35,6.19,21.98,-0.32
2022-01-03,6.28,6.3,6.45,6.25,12.9,-0.06
2021-12-31,6.3,6.3,6.3,6.3,0,0
2021-12-30,6.33,6.3,6.33,6.25,12.34,-0.47
2021-12-29,6,6.33,6.33,6,29.95,5.71
2021-12-28,5.86,5.99,5.99,5.84,10.56,1.42
2021-12-27,5.85,5.9,5.92,5.79,9.79,0.79
2021-12-24,5.86,5.86,5.86,5.86,0,0
2021-12-23,5.94,5.86,5.98,5.86,11.7,-0.88
2021-12-22,5.85,5.91,5.92,5.78,7.74,1.58
2021-12-21,5.82,5.82,5.85,5.74,19.71,0.31
2021-12-20,5.78,5.8,5.83,5.66,18.53,-0.92
2021-12-17,5.69,5.85,5.94,5.62,69.11,2.56
2021-12-16,5.78,5.71,5.78,5.63,32.68,-0.28
2021-12-15,5.81,5.72,5.81,5.67,19.87,-2.29
2021-12-14,5.73,5.86,5.89,5.68,36.05,2.45
2021-12-13,5.69,5.72,5.78,5.65,25.08,-0.03
2021-12-10,5.77,5.72,5.8,5.65,17.07,-1
2021-12-09,5.74,5.78,5.84,5.68,31.38,0.1
2021-12-08,5.84,5.77,5.86,5.75,22.99,-1.47
2021-12-07,5.86,5.86,5.95,5.77,41.41,0.79
2021-12-06,5.74,5.81,5.88,5.67,18.53,1.5
2021-12-03,5.65,5.73,5.81,5.64,37.36,0.42
2021-12-02,5.62,5.7,5.75,5.55,29.45,0.21
2021-12-01,5.62,5.69,5.76,5.55,36.71,3.34
2021-11-30,5.51,5.51,5.51,5.51,0,0
2021-11-29,5.7,5.51,5.74,5.5,32.37,-3.34
2021-11-26,5.86,5.7,5.98,5.66,26.55,-4.88
2021-11-25,6.07,5.99,6.08,5.93,20.94,-1.09
2021-11-24,6.04,6.05,6.15,5.97,17.85,0.26
2021-11-23,6.04,6.04,6.1,5.97,23.67,0.3
2021-11-22,6.1,6.02,6.2,6,24.33,-1.28
2021-11-19,5.93,6.1,6.1,5.81,36.21,3.88
2021-11-18,6.09,5.87,6.1,5.82,26.83,-3.74
2021-11-17,6.14,6.1,6.26,6.07,15.56,-0.36
2021-11-16,6.2,6.12,6.22,6.09,12.19,-0.78
2021-11-15,6.2,6.17,6.3,6.17,33.84,-0.36
2021-11-12,6.19,6.19,6.31,6.17,28.67,0
2021-11-10,6.2,6.19,6.29,6.17,23.46,-0.42
2021-11-09,6.22,6.22,6.28,6.17,19.18,-0.06
2021-11-08,6.33,6.22,6.38,6.22,15.14,-0.7
2021-11-05,6.35,6.26,6.35,6.23,10.12,-1.32
2021-11-04,6.21,6.35,6.36,6.21,24.41,3.12
2021-11-03,6.25,6.16,6.34,6.13,17.11,0.16
2021-11-02,6.07,6.15,6.29,5.99,32.52,2.16
2021-10-29,6.1,6.02,6.14,6.02,34.64,-1.67
2021-10-28,6.28,6.12,6.36,6.12,29.23,-2.92
2021-10-27,6.29,6.3,6.34,6.24,13.04,0.13
2021-10-26,6.42,6.29,6.42,6.28,24.34,-1.35
2021-10-25,6.36,6.38,6.44,6.34,15.25,0.31
2021-10-22,6.44,6.36,6.44,6.33,28.61,-2
2021-10-21,6.5,6.49,6.58,6.42,15.47,0
2021-10-20,6.58,6.49,6.59,6.31,29.8,-1.96
2021-10-19,6.55,6.62,6.62,6.53,19.57,1.44
2021-10-18,6.56,6.53,6.63,6.53,12.2,-1.72
2021-10-15,6.59,6.64,6.66,6.53,28.51,0.61
2021-10-14,6.55,6.6,6.64,6.54,33.39,0.86
2021-10-13,6.61,6.54,6.62,6.45,29.15,-1.12
2021-10-12,6.53,6.62,6.62,6.48,50.22,1.04
2021-10-11,6.52,6.55,6.63,6.44,20.9,0.52
2021-10-08,6.44,6.52,6.53,6.42,29.96,1.5
2021-10-07,6.47,6.42,6.51,6.39,24.23,-0.5
2021-10-06,6.58,6.45,6.67,6.41,33.05,-2
2021-10-05,6.46,6.58,6.62,6.38,28.1,1.76
2021-10-04,6.33,6.47,6.47,6.32,23.9,1.73
2021-10-01,6.42,6.36,6.48,6.35,25.01,-1.61
2021-09-30,6.24,6.46,6.46,6.17,52.61,4.12
2021-09-29,6.11,6.21,6.25,6.1,12.58,1.31
2021-09-28,6.09,6.13,6.24,6.07,22.33,0.69
2021-09-27,6.16,6.09,6.16,6.08,14.48,-0.56
2021-09-24,6.22,6.12,6.22,6.08,25.36,-0.75
2021-09-23,6.24,6.17,6.25,6.15,22.4,-0.39
2021-09-22,6.15,6.19,6.22,6.13,15.36,1.41
2021-09-21,5.96,6.1,6.21,5.96,17.42,2.38
2021-09-20,6.18,5.96,6.26,5.8,34.76,-4.15
2021-09-17,6.35,6.22,6.35,6.18,50.48,-1.49
2021-09-16,6.36,6.31,6.39,6.28,24.81,-0.72
