Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,81.7,81.08,82.1,80.22,48.04,0
2022-04-15,81.08,81.08,81.08,81.08,0,0
2022-04-14,81.7,81.08,82.1,80.22,49.26,-0.64
2022-04-13,80.9,81.6,81.82,79.02,113.93,1.52
2022-04-12,78.6,80.38,80.9,76.84,138.09,2.13
2022-04-11,76.4,78.7,78.7,75.8,91.81,3.55
2022-04-08,75,76,76.32,74.9,66.47,2.43
2022-04-07,77,74.2,77.02,74.2,64.35,-3.64
2022-04-06,76.3,77,77,74.82,60.54,0.92
2022-04-05,79.1,76.3,79.34,76.3,74.64,-3.42
2022-04-04,77,79,79.26,76.76,118.6,3.29
2022-04-01,76.72,76.48,76.96,75.66,62.61,0.61
2022-03-31,75.82,76.02,77.12,75.5,107.09,0.53
2022-03-30,76.14,75.62,76.34,74.82,88.34,0.16
2022-03-29,77.98,75.5,78.04,74.66,118.66,-2.4
2022-03-28,76.8,77.36,78.66,76.62,62.62,-0.39
2022-03-25,78.24,77.66,78.96,76.82,69.91,-0.74
2022-03-24,78.96,78.24,79.2,76.72,69.23,-0.91
2022-03-23,78.5,78.96,79.16,77.76,53.3,1.18
2022-03-22,78.1,78.04,78.46,76.92,77.65,0.05
2022-03-21,74.92,78,78,74.9,71.08,4.31
2022-03-18,76.92,74.78,77.94,74.54,184,-2.43
2022-03-17,75.2,76.64,76.84,74.7,102.22,2.9
2022-03-16,76.22,74.48,76.24,73.64,101.63,-0.69
2022-03-15,74.2,75,75.74,73.4,97.58,1.63
2022-03-14,77.02,73.8,77.42,73.8,131.54,-4.9
2022-03-11,74.66,77.6,77.8,74.2,105.45,3.94
2022-03-10,74.22,74.66,75.42,73.4,96.15,0.84
2022-03-09,79.12,74.04,79.96,73.1,145.48,-4.32
2022-03-08,77.7,77.38,79.56,76.32,115.65,-0.41
2022-03-07,73,77.7,78.6,73,174.84,4.41
2022-03-04,77.98,74.42,78.68,73.7,145.95,-5.92
2022-03-03,79,79.1,81.2,77.84,210.73,2.12
2022-03-02,73.1,77.46,77.46,72.1,200.59,6.08
2022-03-01,71.2,73.02,75.12,71.2,130.82,2.76
2022-02-28,68.46,71.06,71.7,67.2,208.2,1.72
2022-02-25,63.6,69.86,70.5,63.52,168.31,10.96
2022-02-24,64.92,62.96,65.9,61.14,167.09,-7.68
2022-02-23,69.88,68.2,71.5,68.2,77.57,-2.15
2022-02-22,66.6,69.7,69.98,65.14,97.56,2.32
2022-02-21,71.48,68.12,72,67.62,59.93,-4
2022-02-18,71.74,70.96,72.3,70.88,47.6,-1.14
2022-02-17,73.5,71.78,73.56,71.18,64.11,-2.63
2022-02-16,73.32,73.72,75.5,73.32,104.04,0.6
2022-02-15,71.22,73.28,73.3,71.14,109.83,3.83
2022-02-14,69.74,70.58,71.18,68.04,85.62,-1.45
2022-02-11,70.8,71.62,71.74,70.3,54.65,0.56
2022-02-10,73.26,71.22,73.58,70.9,65.49,-2.78
2022-02-09,72.06,73.26,73.8,71.18,107.06,2.32
2022-02-08,68.8,71.6,71.7,68.38,96.15,4.53
2022-02-07,69.48,68.5,69.9,67.26,76.65,-0.61
2022-02-04,71.18,68.92,71.26,68.8,88.08,-3.15
2022-02-03,71.3,71.16,71.76,70.68,69,-0.2
2022-02-02,72.1,71.3,73.12,70.86,86.14,-0.59
2022-02-01,71.5,71.72,72.34,70.9,50.74,1.01
2022-01-31,72.92,71,73.22,70.6,124.58,-1.09
2022-01-28,74.02,71.78,74.02,70.86,135.09,-2.74
2022-01-27,73.48,73.8,75,71.6,118.8,-0.89
2022-01-26,75.2,74.46,76.02,73.5,59.97,0.03
2022-01-25,73.2,74.44,74.96,72.9,86.71,2.25
2022-01-24,77.4,72.8,78.2,72,103.99,-6.4
2022-01-21,79.54,77.78,79.92,76.6,96.88,-3.69
2022-01-20,80.9,80.76,81,79.06,44.32,-0.12
2022-01-19,79.5,80.86,81.32,78.68,100.35,1.07
2022-01-18,81.54,80,82.24,79.5,62.32,-1.91
2022-01-17,82.04,81.56,82.2,81.26,33.98,-0.73
2022-01-14,81.44,82.16,83,81.38,87,0.88
2022-01-13,82.2,81.44,83.66,80.66,119.63,-0.92
2022-01-12,79.44,82.2,82.44,78.02,195.69,3.87
2022-01-11,78.3,79.14,79.4,76.44,103.56,1.7
2022-01-10,80.02,77.82,80.14,77.72,77.73,-2.55
2022-01-07,78.5,79.86,81.16,77.4,127.8,1.06
2022-01-05,76.4,79.02,79.1,76.08,132.26,3.48
2022-01-04,75.72,76.36,76.36,74.98,62.48,1.6
2022-01-03,74.5,75.16,75.68,74,42.48,1.1
2021-12-31,74.34,74.34,74.34,74.34,0,0
2021-12-30,74.2,74.34,74.34,73.58,29.09,0.54
2021-12-29,72.84,73.94,73.94,72.72,24.44,1.68
2021-12-28,71.62,72.72,73.18,71.62,56.14,1.56
2021-12-27,72.98,71.6,73.28,71.32,33.93,-1.92
2021-12-24,73,73,73,73,0,0
2021-12-23,72.7,73,73.4,72.1,38.7,0.66
2021-12-22,71.64,72.52,72.52,71.5,33.46,1.28
2021-12-21,72,71.6,72.6,71.44,59,0.87
2021-12-20,72,70.98,72,69.66,82.2,-2.63
2021-12-17,73.64,72.9,74,72.2,145.24,-2.49
2021-12-16,73.1,74.76,74.76,72.44,69.97,4.04
2021-12-15,74.7,71.86,74.7,71.5,82.84,-4.06
2021-12-14,74.1,74.9,75.16,72.88,76.72,0.97
2021-12-13,73.96,74.18,75.22,73.64,79.09,0.93
2021-12-10,73.2,73.5,74.5,73,20.15,-0.3
2021-12-09,75.7,73.72,75.92,72.5,64.82,-1.71
2021-12-08,76.6,75,77.16,75,67.29,-1.81
2021-12-07,74.52,76.38,76.4,74.52,71.24,3.83
2021-12-06,74,73.56,75.5,72.9,51.65,-0.27
2021-12-03,74.2,73.76,75.76,73.52,109.94,0.22
2021-12-02,74.2,73.6,74.5,72.84,64.37,-1.6
2021-12-01,73.04,74.8,74.94,72.7,81.5,4.44
2021-11-30,71.62,71.62,71.62,71.62,0,0
2021-11-29,73.58,71.62,74.76,71.3,97.11,-2.74
2021-11-26,76.98,73.64,76.98,73.34,100.69,-6.33
2021-11-25,80.02,78.62,80.5,78.22,51,-1.73
2021-11-24,79.96,80,81.8,78.96,61.82,0.88
2021-11-23,79.36,79.3,80.08,78.44,109.75,0.15
2021-11-22,77.2,79.18,80.26,76.8,83.84,2.54
2021-11-19,79,77.22,80.5,76.3,91.51,-1.76
2021-11-18,80.5,78.6,80.5,78,100.94,-2.96
2021-11-17,83.7,81,83.78,80.8,83.62,-2.95
2021-11-16,82.32,83.46,83.96,81.5,132.88,0.75
2021-11-15,85.56,82.84,86.58,79.38,157.02,-3.43
2021-11-12,87.6,85.78,88.24,85.58,113.79,-2.37
2021-11-10,87.88,87.86,89.3,87.58,80.11,-0.2
2021-11-09,87.52,88.04,88.36,86.36,89.42,0.39
2021-11-08,89,87.7,89.8,87.28,54.1,-0.86
2021-11-05,88.9,88.46,89.2,87.66,39.24,-0.61
2021-11-04,87.48,89,89.3,87.3,95.35,2.3
2021-11-03,87.48,87,88.4,86.1,77.9,-0.62
2021-11-02,86.06,87.54,88.96,85.86,143.24,1.72
2021-10-29,87.46,86.06,88.62,85.4,108.46,-1.6
2021-10-28,90.2,87.46,90.56,87.26,115.48,-1.84
2021-10-27,89.5,89.1,89.5,87.44,73.02,-0.45
2021-10-26,89.6,89.5,90.58,88.94,66.43,-0.04
2021-10-25,86.56,89.54,89.54,86.56,75.53,3.59
2021-10-22,87.1,86.44,87.68,85.86,78.55,-1.32
2021-10-21,89.7,87.6,89.7,87.14,108.88,-2.71
2021-10-20,88.54,90.04,90.1,88.42,69.34,1.69
2021-10-19,89.16,88.54,90.86,87.84,103.94,-1.01
2021-10-18,90.5,89.44,90.9,88.86,76.08,-1.28
2021-10-15,89.6,90.6,91.2,89.5,108.13,1.46
2021-10-14,87.9,89.3,89.9,87,126.34,2.64
2021-10-13,88.04,87,89.46,85.18,114.39,-1.18
2021-10-12,87.2,88.04,88.16,86.5,131.85,0.69
2021-10-11,84.72,87.44,87.56,83.54,152.17,3.82
2021-10-08,80.98,84.22,84.4,80.88,173.55,4.34
2021-10-07,81.58,80.72,81.6,80.14,67.61,-1.03
2021-10-06,81.62,81.56,81.92,80.1,104.61,-0.49
2021-10-05,82,81.96,82,80.34,70.77,0.05
2021-10-04,81,81.92,82.6,80.9,84.02,0.74
2021-10-01,81.26,81.32,82.14,80.6,66.66,-0.85
2021-09-30,80,82.02,82.34,79.84,216.3,2.52
2021-09-29,79.26,80,80.14,78.54,68.23,0.55
2021-09-28,79.86,79.56,79.88,78.34,80.75,-0.33
2021-09-27,79.1,79.82,80.38,79.04,126.96,1.17
2021-09-24,76.52,78.9,78.9,76.22,123.39,3.22
2021-09-23,78.4,76.44,78.56,76.12,57.18,-1.37
2021-09-22,75.5,77.5,77.78,75.5,46.66,3.25
2021-09-21,74.22,75.06,75.98,74.22,59.92,1.13
2021-09-20,75.1,74.22,75.54,72.52,83.38,-2.44
2021-09-17,77.22,76.08,77.76,75.52,185.72,-1.32
2021-09-16,79.18,77.1,79.2,76.86,78.28,-2.77
2021-09-15,80.2,79.3,80.3,78.56,113.77,-1.49
2021-09-14,77,80.5,80.72,76.74,160.52,4.57
2021-09-13,74.96,76.98,76.98,74.4,83.52,3.27
2021-09-10,74.84,74.54,75,74.1,39.38,-0.08
2021-09-09,74.74,74.6,75.18,74.26,48.48,-0.77
2021-09-08,74.98,75.18,75.8,73.92,68.95,0.03
2021-09-07,74.4,75.16,75.44,74.14,54.8,0.89
2021-09-06,74.28,74.5,74.5,73.66,20.05,0.19
2021-09-03,73.74,74.36,74.68,73.34,44.26,1.17
2021-09-02,73.54,73.5,73.9,72,58.36,-0.19
2021-09-01,74.5,73.64,74.66,73.64,39.34,-0.89
2021-08-31,73.96,74.3,74.88,73.18,133.37,0.46
2021-08-30,73.56,73.96,74.12,73.32,32.4,0.54
2021-08-27,72.88,73.56,73.66,72.3,23.33,1.18
2021-08-26,74,72.7,74,72.7,32.97,-2.07
2021-08-25,74.3,74.24,74.3,73.36,31.09,-0.16
2021-08-24,73,74.36,74.48,72.82,62.77,2.57
2021-08-23,71.76,72.5,72.92,71.76,64.69,1.51
2021-08-20,70.72,71.42,71.5,70.1,41.08,0.96
2021-08-19,72.5,70.74,72.5,69.84,94.25,-3.6
2021-08-18,74.2,73.38,74.2,73.02,32.19,-1.11
2021-08-17,73.88,74.2,74.22,73.52,35.44,0.3
2021-08-16,74.64,73.98,75.6,73.84,34.53,-1.36
2021-08-13,75.76,75,75.76,74.34,34.82,-0.77
2021-08-12,74.5,75.58,75.84,74.22,48.27,1.45
2021-08-11,73.78,74.5,74.8,73.7,47.95,0.76
2021-08-10,72.9,73.94,74.12,72.8,38.46,1.4
2021-08-09,73.88,72.92,73.9,72.92,26.84,-1.46
2021-08-06,74.5,74,74.64,73.22,52.54,-0.94
2021-08-05,74.28,74.7,74.92,73.54,52.92,1.06
2021-08-04,74,73.92,74.6,73.34,48.12,0.33
2021-08-03,73.62,73.68,74.86,72.66,105.35,1.99
2021-08-02,73.8,72.24,73.8,72.02,47.25,-0.96
2021-07-30,72.54,72.94,73.12,72.22,81.67,0.55
2021-07-29,73.56,72.54,74.28,72.54,137.63,1.4
2021-07-28,69.68,71.54,71.96,69.68,65.96,3.02
2021-07-27,70.38,69.44,70.52,69.22,37.56,-1.28
2021-07-26,69.4,70.34,70.86,68.4,51.56,1.35
2021-07-23,68.66,69.4,69.5,68.42,44.4,0.99
2021-07-22,70.64,68.72,70.88,68.7,71.11,-2.44
2021-07-21,69.68,70.44,70.8,69.2,57.9,-2.84
2021-07-20,72,72.5,73.12,71.24,81.15,1.14
2021-07-19,74.12,71.68,74.32,71.12,98.55,-3.29
2021-07-16,74.1,74.12,74.78,74,47.79,0.05
2021-07-15,74.52,74.08,75.5,73.92,71.39,-1.59
2021-07-14,75,75.28,75.56,74.8,39.81,1.16
2021-07-13,75.8,74.42,75.82,74.3,42.61,-1.43
2021-07-12,74.62,75.5,75.7,74.06,52.42,1.29
2021-07-09,73.72,74.54,74.88,73.04,76.59,1.61
2021-07-08,75,73.36,75.06,72.32,111.73,-2.19
2021-07-07,75.68,75,76.3,74.66,107.18,-0.9
2021-07-06,78.1,75.68,78.5,75.52,52.06,-2.72
2021-07-05,77.7,77.8,78.34,77.42,34.73,0.49
2021-07-02,78.5,77.42,79,77.42,37.92,-0.51
2021-07-01,76.98,77.82,79.18,76.8,70.84,1.35
2021-06-30,77.08,76.78,77.5,75.86,79.85,-0.29
2021-06-29,78.52,77,78.56,75.72,98.15,-2.53
2021-06-28,79.3,79,79.38,78.62,27.49,-0.48
2021-06-25,79.98,79.38,80.4,79.02,50.74,-0.58
2021-06-24,79.98,79.84,80.1,78.94,68.94,0.18
2021-06-23,79.94,79.7,80.2,79.54,38.67,0.28
2021-06-22,80.26,79.48,80.78,79.2,67.6,0.51
2021-06-21,78.32,79.08,79.46,76.58,66.74,0.71
2021-06-18,81.24,78.52,81.4,77.94,240.79,-3.54
2021-06-17,80.68,81.4,82.28,80.5,70.44,0.62
2021-06-16,82.26,80.9,83.34,80.9,81.57,-1.8
2021-06-15,83.42,82.38,83.62,81.98,62.97,-0.87
2021-06-14,81.78,83.1,83.1,81.58,58.74,2.16
