Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,33.58,33.39,33.63,33.2,35.43,0
2022-04-15,33.39,33.39,33.39,33.39,0,0
2022-04-14,33.58,33.39,33.63,33.2,35.43,-0.03
2022-04-13,33.81,33.4,34.18,33.15,42.21,-1.04
2022-04-12,34,33.75,34.06,33.53,29.23,-1.2
2022-04-11,33.45,34.16,34.3,33.1,55.97,2.8
2022-04-08,33.2,33.23,33.57,32.85,46.74,0.3
2022-04-07,33.5,33.13,33.7,33.13,69.25,-1.55
2022-04-06,33.99,33.65,34.16,33.35,70.39,-1.12
2022-04-05,34.49,34.03,34.55,33.94,37.99,-0.47
2022-04-04,34.8,34.19,34.8,34.14,42.1,-1.16
2022-04-01,34,34.59,34.74,33.88,51.04,2.19
2022-03-31,34.02,33.85,34.31,33.85,74.29,-1.02
2022-03-30,34.4,34.2,34.49,33.83,54.23,0.38
2022-03-29,33.93,34.07,34.85,33.31,99.62,1.07
2022-03-28,34,33.71,34.24,33.63,75.22,-0.65
2022-03-25,34.69,33.93,34.8,33.44,107.35,-1.28
2022-03-24,35,34.37,35.6,34.17,119.47,0.32
2022-03-23,34.2,34.26,34.43,33.78,61.19,0.18
2022-03-22,33.5,34.2,34.2,33.5,123.29,2.09
2022-03-21,34.49,33.5,34.5,33.25,88.87,-2.62
2022-03-18,34.4,34.4,34.69,33.8,171.31,0.29
2022-03-17,34.7,34.3,35.16,33.71,109.11,-0.17
2022-03-16,33.83,34.36,34.69,33.82,233.73,3.28
2022-03-15,32.11,33.27,33.6,31.82,97.2,3.32
2022-03-14,32.25,32.2,33.12,31.75,87.69,0.22
2022-03-11,31.48,32.13,32.88,31.38,93.77,2.65
2022-03-10,31.48,31.3,31.75,30.63,68.44,-0.38
2022-03-09,30.28,31.42,31.67,30.1,128.73,6.11
2022-03-08,29.41,29.61,30.85,29.08,80.86,-1.27
2022-03-07,28.45,29.99,30.67,27.72,155.95,2.49
2022-03-04,31.08,29.26,31.1,29.06,150.76,-6.16
2022-03-03,31.51,31.18,32.15,30.7,132.15,-0.45
2022-03-02,30.25,31.32,31.55,30.01,204.32,3.03
2022-03-01,31.99,30.4,32.48,30.26,111.08,-3.61
2022-02-28,32.51,31.54,32.55,30.96,232.71,-5.29
2022-02-25,31.4,33.3,33.66,31.35,158.98,7.84
2022-02-24,31.79,30.88,32,29.52,238.19,-6.76
2022-02-23,34.04,33.12,34.5,33.12,94.99,-2.19
2022-02-22,32.67,33.86,33.92,32.07,99.9,1.96
2022-02-21,34.75,33.21,34.87,33.06,58.38,-3.77
2022-02-18,35.15,34.51,35.45,34.51,81.41,-2.27
2022-02-17,35.88,35.31,35.93,35,68.11,-1.59
2022-02-16,35.79,35.88,36.37,35.55,69,1.3
2022-02-15,35.17,35.42,35.73,35.17,67.94,0.71
2022-02-14,35.02,35.17,35.65,34.52,86.45,-2.9
2022-02-11,35.57,36.22,36.31,35.5,64.55,0.89
2022-02-10,36.34,35.9,36.51,35.71,42.09,-1.72
2022-02-09,36.9,36.53,37.04,36.32,37.97,-0.63
2022-02-08,36.13,36.76,36.76,36.07,61.79,1.94
2022-02-07,36.02,36.06,36.42,35.55,40.84,0.42
2022-02-04,36.82,35.91,36.98,35.91,38.3,-2.92
2022-02-03,37.1,36.99,37.26,36.53,61.14,-0.43
2022-02-02,36.56,37.15,37.27,36.56,58.78,1.28
2022-02-01,36.49,36.68,36.75,36.1,55.51,1.33
2022-01-31,36.45,36.2,36.48,35.97,81.64,0.86
2022-01-28,36.88,35.89,36.88,35.38,64.23,-2.42
2022-01-27,35.2,36.78,36.86,35.09,71.89,2.74
2022-01-26,34.92,35.8,36,34.89,67.3,2.99
2022-01-25,34.27,34.76,34.89,34.25,55.49,1.67
2022-01-24,35.6,34.19,35.68,33.7,84,-3.93
2022-01-21,36.15,35.59,36.16,35.42,48.02,-2.33
2022-01-20,36.24,36.44,36.44,35.62,60.57,0.94
2022-01-19,36,36.1,36.46,35.72,53.43,-0.14
2022-01-18,37.2,36.15,37.25,36.15,73.45,-2.87
2022-01-17,37.44,37.22,37.5,37.1,26.02,-0.59
2022-01-14,37.6,37.44,37.71,36.9,54.07,-1
2022-01-13,37.1,37.82,37.82,36.85,89.71,2
2022-01-12,36.94,37.08,37.08,36.33,99.31,0.62
2022-01-11,35.78,36.85,36.85,35.57,106.35,3.8
2022-01-10,35.74,35.5,36.28,35.4,51.9,-0.28
2022-01-07,36.19,35.6,36.31,35.6,60.6,-1.77
2022-01-05,36,36.24,36.24,35.55,56.32,0.83
2022-01-04,36.2,35.94,36.36,35.71,60.51,-0.36
2022-01-03,35.4,36.07,36.22,35.39,61.71,2.04
2021-12-31,35.35,35.35,35.35,35.35,0,0
2021-12-30,36.3,35.35,36.4,34.94,62.41,-0.62
2021-12-29,35.61,35.57,35.67,35.14,37.04,-0.11
2021-12-28,34.85,35.61,35.61,34.75,60.47,2.18
2021-12-27,35,34.85,35.05,34.69,28.5,-0.37
2021-12-24,34.98,34.98,34.98,34.98,0,0
2021-12-23,34.9,34.98,35.1,34.58,42.35,0.52
2021-12-22,34.9,34.8,34.98,34.31,53.31,-0.06
2021-12-21,35.14,34.82,35.49,34.8,38.47,-0.85
2021-12-20,35.4,35.12,35.4,34.73,48.21,-1.65
2021-12-17,35.5,35.71,36.07,35.42,161.3,0.03
2021-12-16,36.02,35.7,36.3,35.54,81.33,-0.31
2021-12-15,36.79,35.81,36.79,35.52,75.26,-2.72
2021-12-14,36.89,36.81,36.89,35.94,65.1,-0.22
2021-12-13,36.7,36.89,37.08,36.47,46.6,0.27
2021-12-10,37.06,36.79,37.06,36.7,21.36,-0.78
2021-12-09,37,37.08,37.3,36.52,60.07,-0.03
2021-12-08,37.6,37.09,37.69,37.06,85.12,-1.25
2021-12-07,36.88,37.56,37.56,36.55,118.42,2.48
2021-12-06,36.68,36.65,36.76,36.08,38.75,-0.08
2021-12-03,37.15,36.68,37.17,36.65,87.23,-0.89
2021-12-02,36.38,37.01,37.01,35.75,88.15,1.73
2021-12-01,36.05,36.38,36.77,35.72,83.45,3.35
2021-11-30,35.2,35.2,35.2,35.2,0,0
2021-11-29,35,35.2,35.65,34.82,79.46,0.69
2021-11-26,35.1,34.96,35.36,34.4,187.75,-2.24
2021-11-25,35.72,35.76,35.86,35.32,32.89,0.45
2021-11-24,36.48,35.6,36.48,35.36,62.35,-1.14
2021-11-23,35.41,36.01,36.16,35.12,112.85,1.44
2021-11-22,35.89,35.5,35.99,35.17,88.72,-1.06
2021-11-19,37.55,35.88,37.68,35.55,162.6,-4.45
2021-11-18,39.4,37.55,39.4,37.16,185.76,-4.7
2021-11-17,39.63,39.4,39.7,39.34,97.67,-0.58
2021-11-16,39.83,39.63,40.13,39.33,94.52,-0.68
2021-11-15,39.83,39.9,40.55,39.67,83.22,0.5
2021-11-12,39.8,39.7,40.35,39.6,73.56,0.38
2021-11-10,40.25,39.55,40.29,39.31,89.8,-1.91
2021-11-09,40.57,40.32,40.57,39.95,92.73,-0.62
2021-11-08,40.55,40.57,40.7,40.22,44.16,0.05
2021-11-05,40.62,40.55,40.87,40.24,44.88,-0.9
2021-11-04,40.05,40.92,40.97,40.05,78.18,2.56
2021-11-03,40.85,39.9,40.9,39.75,66.33,-2.09
2021-11-02,39.9,40.75,40.88,39.53,148.32,2.13
2021-10-29,39.4,39.9,40.3,39.26,72.59,0.76
2021-10-28,39.5,39.6,39.79,39.3,51.89,0.2
2021-10-27,40.01,39.52,40.01,39.4,51.57,-1.79
2021-10-26,39.47,40.24,40.38,39.36,84.32,2.18
2021-10-25,39.03,39.38,39.45,39.02,49.3,0.77
2021-10-22,39.65,39.08,39.76,39.03,30.3,-1.56
2021-10-21,39.53,39.7,39.7,39.28,81.91,0.38
2021-10-20,39.97,39.55,39.97,39.33,67.49,-1.22
2021-10-19,40.2,40.04,40.3,39.73,45.72,-0.4
2021-10-18,39.87,40.2,40.22,39.65,92.23,1.39
2021-10-15,40.46,39.65,40.58,39.42,107.14,-1.86
2021-10-14,40.05,40.4,40.9,40.03,194.64,0.87
2021-10-13,40.05,40.05,40.4,39.75,287.67,0
2021-10-12,39.5,40.05,40.12,39.24,207.21,0.88
2021-10-11,39,39.7,39.75,38.88,119.26,1.79
2021-10-08,38.45,39,39.28,38.35,129.48,1.35
2021-10-07,37.87,38.48,38.48,37.56,183.12,2.31
2021-10-06,37.51,37.61,38,36.91,105.81,0.27
2021-10-05,37.4,37.51,37.6,37.03,61.32,0.83
2021-10-04,37,37.2,37.48,36.51,101.7,0.76
2021-10-01,36.32,36.92,37.09,36.14,68.53,1.15
2021-09-30,36.62,36.5,36.86,36.25,108.74,0.22
2021-09-29,36.1,36.42,36.46,35.95,40.06,0.8
2021-09-28,36.6,36.13,36.67,35.82,49.56,-1.42
2021-09-27,36.8,36.65,37.04,36.54,52.03,0.05
2021-09-24,37.04,36.63,37.1,36.53,67.28,-1.03
2021-09-23,37.49,37.01,37.62,36.83,65.08,-0.56
2021-09-22,36.92,37.22,37.29,36.8,52.51,1.61
2021-09-21,36.3,36.63,37.13,36.29,78.36,0.77
2021-09-20,37.5,36.35,37.52,36.08,96.41,-3.63
2021-09-17,38.1,37.72,38.24,37.5,144.29,-0.92
2021-09-16,37.91,38.07,38.3,37.65,104.14,0.21
2021-09-15,38.5,37.99,38.61,37.81,107.25,-1.3
2021-09-14,38,38.49,38.96,37.9,134.89,-6.44
2021-09-13,40.7,41.14,41.25,40.42,134.62,1.03
2021-09-10,41,40.72,41,40.54,116.37,-0.54
2021-09-09,41.1,40.94,41.12,40.52,86.15,-0.58
