Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,165,174.6,176.5,160.1,9.61,0
2022-04-15,174.6,174.6,174.6,174.6,0,0
2022-04-14,165,174.6,176.5,160.1,9.61,6.2
2022-04-13,158.8,164.4,165.2,155.4,5.87,4.71
2022-04-12,167.6,157,167.6,156.5,7.73,-6.55
2022-04-11,159,168,168.9,158,9.4,5.66
2022-04-08,162,159,164.7,153.1,14.99,-0.63
2022-04-07,185,160,186.1,159.1,40.66,-14.02
2022-04-06,193.2,186.1,195.3,185.6,5.29,-5.05
2022-04-05,201.8,196,201.8,193.2,3.28,-1.75
2022-04-04,206.8,199.5,206.8,197,4.53,-0.75
2022-04-01,199.7,201,207,197,7.08,2.45
2022-03-31,212,196.2,214.8,196.2,17.12,-9.92
2022-03-30,216,217.8,219.4,214.4,3,1.11
2022-03-29,213.8,215.4,219,212.6,3.3,1.7
2022-03-28,219.8,211.8,220.8,211.4,6.85,-2.75
2022-03-25,220.8,217.8,224.8,216.8,5.28,-0.64
2022-03-24,215.2,219.2,220,211.6,2.09,3.1
2022-03-23,218.6,212.6,221,212,3.11,-2.74
2022-03-22,223,218.6,223,216.6,7.74,-1.97
2022-03-21,222,223,228.2,218.4,5.51,1.83
2022-03-18,226,219,226,216,5.92,-0.9
2022-03-17,212,221,225,208.2,15.73,7.28
2022-03-16,210.2,206,215,205.6,6.45,-0.68
2022-03-15,213.8,207.4,213.8,205.2,5.09,-3.08
2022-03-14,216,214,220,211,5.13,-0.28
2022-03-11,214.8,214.6,222.2,211,6.62,2.19
2022-03-10,208.2,210,214,203.2,4.53,2.44
2022-03-09,198.2,205,206.4,198.2,5.44,4.01
2022-03-08,201,197.1,207,192.4,5.79,-1.94
2022-03-07,195.3,201,203.4,186.8,5.54,-0.99
2022-03-04,207,203,211,200,5.09,-3.33
2022-03-03,215.6,210,216.2,207.2,4.1,-1.41
2022-03-02,213,213,215.6,206,4.64,0
2022-03-01,214.6,213,217.6,212,6.9,-0.37
2022-02-28,195,213.8,213.8,193,8.43,4.91
2022-02-25,196,203.8,205,190,8.96,8.06
2022-02-24,185,188.6,192.9,167.8,18.02,-6.45
2022-02-23,212.2,201.6,217,201.4,8.76,-4.55
2022-02-22,203.2,211.2,213.6,201.6,10.17,0.96
2022-02-21,219,209.2,219,204.8,12.82,-3.15
2022-02-18,221.8,216,224,212.4,14.43,-2.26
2022-02-17,232,221,232.8,220.2,11.69,-4.41
2022-02-16,238,231.2,244,231.2,5.15,-2.36
2022-02-15,231.2,236.8,239.8,231.2,7.07,2.42
2022-02-14,241.4,231.2,244,227.6,22.48,-6.77
2022-02-11,243.6,248,249.4,239.6,7.55,0
2022-02-10,251,248,251.8,240.2,11.38,-0.88
2022-02-09,241,250.2,250.8,240,7.22,3.82
2022-02-08,248.8,241,250.2,236,11.3,-2.59
2022-02-07,249.6,247.4,251.4,241,7.58,0.41
2022-02-04,249.8,246.4,251.8,242.4,8.14,-1.52
2022-02-03,255.4,250.2,255.4,247,11.12,-2.49
2022-02-02,246,256.6,258.8,243,14.58,5.16
2022-02-01,256.4,244,263.4,238.6,27.81,-3.17
2022-01-31,244,252,253.6,241.2,21.24,7.78
2022-01-28,252,233.8,253,233.2,29.99,-6.85
