Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-04-14,3.02,3.06,3.08,2.99,8.7,0
2022-04-15,3.06,3.06,3.06,3.06,0,0
2022-04-14,3.02,3.06,3.08,2.99,8.7,1.93
2022-04-13,3.01,3,3.08,2.98,8.08,-1.41
2022-04-12,3,3.05,3.12,2.95,25.19,1.77
2022-04-11,2.88,3,3,2.86,12.93,5.53
2022-04-08,2.78,2.84,2.88,2.78,7.15,2.27
2022-04-07,2.86,2.77,2.87,2.77,7.81,-2.77
2022-04-06,2.9,2.85,2.9,2.79,11.04,-1.11
2022-04-05,2.83,2.89,2.9,2.83,8.08,3.07
2022-04-04,2.85,2.8,2.95,2.8,14.07,-1.75
2022-04-01,2.86,2.85,2.92,2.83,14.65,-1.11
2022-03-31,2.92,2.88,2.95,2.85,11.8,-0.21
2022-03-30,2.88,2.89,2.96,2.87,9.22,0.07
2022-03-29,3.04,2.89,3.04,2.89,13.26,-3.8
2022-03-28,3,3,3.06,2.97,9.99,-0.63
2022-03-25,3.08,3.02,3.08,2.97,18.07,-2.14
2022-03-24,2.98,3.08,3.09,2.98,27.77,2.53
2022-03-23,2.91,3.01,3.01,2.89,23.48,4.12
2022-03-22,2.88,2.89,2.93,2.87,22.04,-0.07
2022-03-21,2.76,2.89,2.92,2.75,27.33,4.63
2022-03-18,2.75,2.76,2.83,2.71,48.36,0.62
2022-03-17,2.69,2.75,2.75,2.65,11.96,3.04
2022-03-16,2.77,2.67,2.79,2.65,15.02,-2.38
2022-03-15,2.68,2.73,2.76,2.62,14.6,1.9
2022-03-14,2.76,2.68,2.76,2.66,14.73,-2.47
2022-03-11,2.72,2.75,2.77,2.68,22.57,1.7
2022-03-10,2.73,2.7,2.73,2.66,13.21,-0.48
2022-03-09,2.75,2.71,2.79,2.65,17.2,0.93
2022-03-08,2.83,2.69,2.84,2.65,18.53,-4.27
2022-03-07,2.74,2.81,2.91,2.66,34.07,3.5
2022-03-04,2.66,2.71,2.79,2.61,25.02,0.56
2022-03-03,2.86,2.7,2.99,2.58,44.43,-2.67
2022-03-02,2.51,2.77,2.78,2.48,30.04,11.23
2022-03-01,2.54,2.49,2.59,2.44,28.99,0.4
2022-02-28,2.2,2.48,2.51,2.15,30.06,13.01
2022-02-25,2.15,2.2,2.24,2.07,14.98,4.67
2022-02-24,2.02,2.1,2.17,1.98,23.06,-7.53
2022-02-23,2.35,2.27,2.36,2.25,9.2,-1.6
2022-02-22,2.2,2.31,2.33,2.15,13.96,2.21
2022-02-21,2.39,2.26,2.41,2.23,11.73,-5.32
2022-02-18,2.4,2.38,2.43,2.35,7.09,-0.58
2022-02-17,2.47,2.4,2.48,2.37,7.41,-1.88
2022-02-16,2.53,2.44,2.56,2.43,9.38,-1.96
2022-02-15,2.42,2.49,2.5,2.41,9.49,3.92
2022-02-14,2.4,2.4,2.41,2.35,10.46,-2.83
2022-02-11,2.49,2.47,2.5,2.44,5.76,-0.96
2022-02-10,2.55,2.49,2.55,2.49,5.18,-1.85
2022-02-09,2.44,2.54,2.54,2.43,13.6,5.52
2022-02-08,2.41,2.41,2.46,2.38,7.95,-0.7
2022-02-07,2.4,2.42,2.42,2.36,8.52,2.02
2022-02-04,2.5,2.38,2.52,2.38,13.93,-4.31
2022-02-03,2.4,2.48,2.58,2.39,33.11,3.76
2022-02-02,2.4,2.39,2.43,2.37,13.11,-0.37
2022-02-01,2.42,2.4,2.45,2.39,6.07,-0.04
2022-01-31,2.48,2.4,2.51,2.38,10.87,-1.88
2022-01-28,2.4,2.45,2.46,2.34,15.61,2.73
2022-01-27,2.38,2.38,2.42,2.36,6.34,-0.75
2022-01-26,2.44,2.4,2.47,2.4,7.94,-1.27
2022-01-25,2.4,2.43,2.44,2.36,17.54,2.14
