Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Allegro.eu SA,51.99,-0.67,54.4,51.66,55.86,2092423,112286620,2021-05-13 11:16
Asseco Poland SA,69.15,-1.43,70.1,69.05,70.1,54305,3780528,2021-05-13 11:15
Bank Pekao SA,83.64,-0.62,83.3,81.74,84.28,217569,18088235,2021-05-13 11:15
CCC SA,119.75,-0.99,121,117.25,121,69891,8314041,2021-05-13 11:16
CD Projekt SA,157.86,-1.95,162.2,156.1,164.12,218901,34765534,2021-05-13 11:16
Cyfrowy Polsat SA,28.42,-1.18,28.4,28.38,28.76,115422,3294001,2021-05-13 11:16
Dino Polska SA,270.1,-2.1,273.6,266.3,274.7,44176,11945674,2021-05-13 11:09
Grupa Lotos SA,49.81,0.99,49,48.02,50.4,484084,23750847,2021-05-13 11:16
Jastrzębska Spółka Węglowa SA,29.82,-3.68,30.5,29.6,30.72,486441,14566544,2021-05-13 11:15
KGHM Polska Miedź SA,217.8,-1.54,220,215.2,222.7,460167,100948891,2021-05-13 11:15
LPP SA,10510,-0.19,10500,10360,10610,551,5756870,2021-05-13 11:15
Mercator Medical SA,235.8,-1.75,240,232,242.9,31022,7295211,2021-05-13 11:16
Orange Polska SA,6.61,-1.49,6.67,6.58,6.68,402276,2659169,2021-05-13 11:14
PGE SA,9.38,-2.62,9.47,9.34,9.53,860061,8098214,2021-05-13 11:15
PGNiG SA,6.37,-4.61,6.61,6.32,6.64,2776127,17829768,2021-05-13 11:16
PKN Orlen SA,72.44,-1.04,72.5,71.54,72.88,775598,55960919,2021-05-13 11:16
PKO BP SA,33.32,-1.27,33.9,33.03,33.96,1341616,44794499,2021-05-13 11:16
PZU SA,34.06,-1.05,34.08,33.6,34.15,863457,29215590,2021-05-13 11:16
Santander Bank Polska SA,223,-2.41,225,221,226.1,16721,3741030,2021-05-13 11:14
Tauron Polska Energia SA,3.18,-3.11,3.25,3.15,3.25,1512438,4826581,2021-05-13 11:15
